iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
COD,245.51391185665216,0.0,1285.8230280221126,3415.267236,Democratic Republic of the Congo,0.4476869049163801,0.28,4647058295.348125,358829479.9099999,Africa,0.0,0.0,0.0,0.0,68.74389531986262,0.0,0.19157817060377721,0.0147929918134829,0.0,0.0,0.00024914682103392797
COG,259.37845638127277,0.0,542.4025791247478,712.295103,Congo,0.4382550095291732,0.28,965017260.6285704,230167419.78,Africa,0.0,0.0,0.0,0.0,72.62596778675638,0.0,0.3155353953056178,0.07525872411800279,0.0,0.0,0.0002632165214727749
COK,0.2568060768543821,0.0,0.25430343361643076,-0.00987,Cook Islands,0.0054333042010864,0.2,,11972897.159999998,Oceania,0.0,0.0,0.0,0.0,0.05136121537087643,0.0,0.004289790072069443,,0.0,0.0,1.8614719859198043e-07
COL,6253.637307717858,0.0,13832.627749964444,11228.308149,Colombia,0.2286612481643971,0.31,46015097668.83051,20849974468.21,Latin America,0.0,1.0,0.0,0.0,1938.6275653925359,0.0,0.09297985320549747,0.042130249931115846,0.0,0.0,0.0070261205426154615
CPV,13.23411242932802,11.060299263005323,36.360698887054774,12.499524,Cabo Verde,0.1265359263773637,0.2244,,99518225.02,Africa,0.0,0.0,0.0,0.0,2.9697348291412076,1.3995252132552514,0.029841115318770862,,9.756945056662147e-06,2.6921090417023454,1.0763137418261532e-05
CRI,3838.1142948475335,0.6860607646656106,6825.910541154755,2148.370921,Costa Rica,0.1315692123692484,0.3,9093976902.01361,3424224729.18,Latin America,0.0,0.0,0.0,0.0,1151.43428845426,0.09026447444449867,0.336261308623279,0.12661504431568402,6.052148343547727e-07,0.16698918752508138,0.004173115172816702
CUB,0.8207964165959526,0.0,0.8166367730762352,-1.388338,Cuba,0.35,0.35,,,Latin America,0.0,0.0,0.0,0.0,0.28727874580858337,0.0,,,0.0,0.0,1.041177342886793e-06
CUW,56.448936743302255,197.6368145660233,4448.812441837879,216.006175,Curaçao,0.0142446461312178,0.22,,,Caribbean/American isl.,0.0,0.0,1.0,1.0,12.418766083526496,2.8152664859941137,,,0.0001743471397147752,48.105376067543126,4.5009030641599286e-05
CYM,9910.327249892604,79128.68275371102,9761.09430288071,74214.131524,Cayman Islands,0.006157376817417,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,487.22511678044464,,,0.06980409767178615,19260.151758441563,0.0
CYP,195.67190864822248,13027.514053885945,4777.747625954594,13228.990016,Cyprus,0.0208729647811588,0.125,6849840506.210245,2268818310.8599997,Europe,0.0,0.0,0.0,0.0,24.45898858102781,271.92284203281264,0.010780496818079976,0.0035707384075370297,0.01149234173742609,3170.9348491752335,8.864611500866579e-05
CZE,6324.549572909512,0.0,18789.169489569962,11664.849473,Czechia,0.1577687233462292,0.19,37639760423.716934,23042198358.499996,Europe,0.0,1.0,0.0,0.0,1201.6644188528073,0.0,0.052150597792659285,0.031925400303441744,0.0,0.0,0.004355163007765353
DEU,73126.15903625995,0.0,281395.78171971045,167912.064932,Germany,0.150644431457986,0.2994120799999999,479291317766.89465,435550119890.27014,Europe,0.0,1.0,0.0,0.0,21894.85537945738,0.0,0.05026942797070849,0.04568172751692956,0.0,0.0,0.07935298966413451
DJI,1.0993996872608183,0.0,3.102365939535494,1.31826,Djibouti,0.25,0.25,,32581438.9,Africa,0.0,0.0,0.0,0.0,0.27484992181520457,0.0,0.008435782184414346,,0.0,0.0,9.961318596081372e-07
DMA,0.1318367751250392,0.0,0.6058552143168334,-0.006549,Dominica,0.2700000676793708,0.25,,22394719.630000003,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.0329591937812598,0.0,0.0014717395138587762,,0.0,0.0,1.1945320113492948e-07
DNK,1944.746312206388,40653.72154337717,37681.05339755806,73652.837652,Denmark,0.0977543725867657,0.22,142754709248.33667,36734522350.79,Europe,0.0,1.0,0.0,0.0,427.84418868540536,3974.0790427899155,0.011646923964323829,0.0029970583172925377,0.03586305560233035,9895.23418338653,0.0015506252447991455
DOM,1077.3998574936218,0.0,2309.731897913702,1154.203647,Dominican Republic,0.1615727904561976,0.27,13549766770.419014,3097703064.92,Latin America,0.0,0.0,0.0,0.0,290.8979615232779,0.0,0.09390763266420131,0.021468853778232388,0.0,0.0,0.0010542943780177895
DZA,80.97324611020447,0.0,1193.8772872490927,3113.094589,Algeria,0.297668186473218,0.26,,5341937178.2300005,Africa,0.0,0.0,0.0,0.0,21.05304398865316,0.0,0.003941087902428101,,0.0,0.0,7.630203319806383e-05
ECU,542.894954781084,0.0,2320.4565229441655,1710.171704,Ecuador,0.2995952526418243,0.25,13650185827.285427,5604221000.0,Latin America,0.0,0.0,0.0,0.0,135.723738695271,0.0,0.02421812749626951,0.009942995678782051,0.0,0.0,0.0004919002316849489
EGY,503.2533621275361,0.0,10072.328386694264,9213.85534,Egypt,0.2620677797380383,0.225,,7397124660.05,Africa,0.0,0.0,0.0,0.0,113.23200647869562,0.0,0.0153075703982972,,0.0,0.0,0.000410383995876196
ESP,25576.964713688445,12786.210643225499,111345.89419444352,77210.19441,Spain,0.1211003403601891,0.25,217406592877.6026,109770657500.95998,Europe,0.0,1.0,0.0,0.0,6394.241178422111,1548.4144608116803,0.05825091444283452,0.02941144099536114,0.011279473707021693,3112.2008964868605,0.02317449215112779
EST,386.7903136983533,1026.152155009092,884.2971671380418,1328.812177,Estonia,0.0242808123933543,0.2,7976187756.119941,2121767231.5299995,Europe,0.0,1.0,0.0,0.0,77.35806273967067,24.915807962811982,0.036459259804803384,0.009698626098704316,0.0009052295926284603,249.76842208080438,0.0002803669376495643
ETH,541.5636024565976,0.0,833.6965293359938,159.481845,Ethiopia,0.2074915719410766,0.3,5924390671.442303,972017513.4100002,Africa,0.0,0.0,0.0,0.0,162.46908073697927,0.0,0.1671462483911535,0.02742376216344725,0.0,0.0,0.0005888327217068133
FIN,2463.050632391152,1456.7138686013107,8849.153100100322,5649.080888,Finland,0.1184866591760236,0.2,61286054660.045334,24914260614.83,Europe,0.0,1.0,0.0,0.0,492.61012647823037,172.60115966595032,0.019772215362674997,0.008037882830127444,0.001285053581394573,354.5683967116454,0.001785354851512327
FJI,38.29179065624422,0.0,135.947891755651,75.965752,Fiji,0.1892132162706429,0.2,683389756.4669319,144214953.05,Oceania,0.0,0.0,0.0,0.0,7.658358131248844,0.0,0.0531037730088478,0.01120642804311542,0.0,0.0,2.7756000352640416e-05
FLK,5.469008529079414,0.0,7.884324892426563,1.427951,Falkland Islands (Malvinas),0.2957650507615457,0.26,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,1.4219422175606475,0.0,,,0.0,0.0,5.153510454284762e-06
FRA,40282.40112243784,0.0,210815.71734906346,156873.853835,France,0.1946659941923293,0.2840749999999999,709159262410.2999,275291141343.0899,Europe,0.0,1.0,0.0,0.0,11443.223098856526,0.0,0.0415677127968134,0.016136323256870602,0.0,0.0,0.041473394025699724
FRO,46.1547899949371,0.0,350.67006386923254,9.407087,Faroe Islands,0.0215604710962102,0.18,,,Europe,0.0,0.0,1.0,0.0,8.307862199088678,0.0,,,0.0,0.0,3.0109982084370176e-05
FSM,-0.0,0.0,2.3584595304600704,75.699641,Micronesia,0.202328658477363,0.3,,7690000.0,Oceania,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,0.0,0.0,-0.0
GAB,229.6466585252918,823.4499658061981,689.7992056397902,953.190741,Gabon,0.0226211860898797,0.3,1845387642.546045,321797920.41999996,Africa,0.0,0.0,0.0,0.0,68.89399755758754,18.627414912207083,0.2140908725192176,0.03733307624328504,0.0007264139859357014,200.43011907925498,0.0002496908329085131
GBR,65515.11732081152,9466.5402736112,205779.9221081688,117158.367033,United Kingdom,0.1006485546283003,0.19,829679665227.4099,323114760716.75,Europe,0.0,1.0,0.0,0.0,12447.872290954188,952.7935958695616,0.038524616651191265,0.015003226923179208,0.008350995857340525,2304.1834635949344,0.0451145195583856
GEO,377.56191664388496,29.258749894302504,1005.755100655599,88.211567,Georgia,-0.0238008172586191,0.15,4048309478.949987,836540849.2700001,Asia,0.0,0.0,0.0,0.0,56.63428749658274,-0.6963821594499348,0.06770056422947444,0.013989614131791134,2.5810876212020222e-05,7.121664908545739,0.00020525826512508027
GGY,2512.28927791311,8.305493993240013,5861.031119557516,-2118.069959,Bailiwick of Guernsey,0.0216414879396297,0.0,,,Europe,1.0,0.0,1.0,0.0,0.0,0.17974324808737066,,,7.326768167253097e-06,2.0215814186686347,0.0
GHA,93.38480568923961,0.0,1110.286009364856,2769.711462,Ghana,0.2369852329745569,0.25,9737516330.756674,1774815823.1,Africa,0.0,0.0,0.0,0.0,23.346201422309903,0.0,0.013154154430250697,0.0023975519659534925,0.0,0.0,8.461306768436271e-05
GIB,1775.4613555110911,78388.39431701484,1820.9898789488793,78400.329462,Gibraltar,0.0175105281350684,0.0,,,Europe,1.0,0.0,1.0,0.0,0.0,1372.622184150924,,,0.0691510453961496,19079.96339766515,0.0
GIN,6.127893142876669,434.0133191493143,106.74517991871596,527.233844,Guinea,0.0352834714092177,0.35,,110786208.90000002,Africa,0.0,0.0,0.0,0.0,2.144762600006834,15.313496537424507,0.01935947281978735,,0.00038286885445889716,105.64010547248358,7.773210714606806e-06
GLP,28.308365326848055,0.0,22.832110178744713,-6.288377,Guadeloupe,-0.0283953210675186,0.15,,,Caribbean/American isl.,0.0,0.0,0.0,0.0,4.246254799027208,-0.0,,,0.0,0.0,1.5389597571611746e-05
GMB,35.50273512754874,0.0,443.1082824523719,27.691923,Gambia,0.0776150224435085,0.27,,32938674.610000007,Africa,0.0,0.0,0.0,0.0,9.58573848443816,0.0,0.29101773516800766,,0.0,0.0,3.474135789873251e-05
GNQ,43.357736864789224,6.4402481353136345,349.65202176181407,17.303951,Equatorial Guinea,0.0974549226353146,0.35,659058728.9763193,83186398.56,Africa,0.0,0.0,0.0,0.0,15.175207902676227,0.6276338837792194,0.18242414824258535,0.02302557759343703,5.681324321639716e-06,1.5675751463503742,5.499913541251272e-05
