iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
CUW,Curaçao,45.44631210970094,9.998188664134206,4.4880573207487535e-05,,,211.78586591696168,3.01681471558066,50.75997197640962,0.00022785493601150636,0.0142446461312178,0.22,Caribbean/American isl.,0.0,0.0,1.0,1.0
CYM,Cayman Islands,10064.469036068589,0.0,0.0,,,75925.76504290395,467.50354551982684,18197.57748789696,0.08168656704531294,0.006157376817417,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
CYP,Cyprus,398.8751087940224,49.8593885992528,0.00022381233394170102,0.021975928332645337,0.007278912341688683,13326.023304260636,278.1536151027337,3193.926877757129,0.014337123840316521,0.0208729647811588,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,2801.350513824542,532.2565976266629,0.0023892308894553414,0.023099210819453764,0.014140807264312084,0.0,0.0,0.0,0.0,0.1577687233462292,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,39880.796205612474,11940.792143978535,0.053600668478646654,0.027415426144267452,0.024913433023600044,0.0,0.0,0.0,0.0,0.150644431457986,0.2994120799999999,Europe,0.0,1.0,0.0,0.0
DJI,Djibouti,2.0919002490534613,0.5229750622633653,2.347567280041302e-06,0.016051318785167752,,0.0,0.0,0.0,0.0,0.25,0.25,Africa,0.0,0.0,0.0,0.0
DMA,Dominica,0.08452346717446567,0.021130866793616417,9.485372260183218e-08,0.0009435646948358966,,0.0,0.0,0.0,0.0,0.2700000676793708,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
DNK,Denmark,676.4023940728264,148.8085266960218,0.0006679821916380595,0.004050917697391037,0.001042407129541022,34577.116036561136,3380.0642840138285,8287.302051257144,0.03720062492301608,0.0977543725867657,0.22,Europe,0.0,1.0,0.0,0.0
DOM,Dominican Republic,661.7231976907755,178.6652633765094,0.0008020052133411949,0.0576766912877505,0.013185855255203358,0.0,0.0,0.0,0.0,0.1615727904561976,0.27,Latin America,0.0,0.0,0.0,0.0
DZA,Algeria,131.2636805223386,34.128556935808035,0.00015319866922676011,0.006388797883077353,,0.0,0.0,0.0,0.0,0.297668186473218,0.26,Africa,0.0,0.0,0.0,0.0
ECU,Ecuador,962.4933472729497,240.62333681823742,0.0010801269756231392,0.04293608992547536,0.017627843302854836,0.0,0.0,0.0,0.0,0.2995952526418243,0.25,Latin America,0.0,0.0,0.0,0.0
EGY,Egypt,585.94914586697,131.83855782006825,0.0005918062005609826,0.017822946601413245,,0.0,0.0,0.0,0.0,0.2620677797380383,0.225,Africa,0.0,0.0,0.0,0.0
