source_iso3,hq_iso3,commodity,year,share,fallback
GEO,COL,oil_gas,2016,0.000944,True
GEO,BGR,oil_gas,2016,0.000663,True
GEO,SVK,oil_gas,2016,0.000259,True
GEO,SYC,oil_gas,2016,0.000143,True
GEO,BHS,oil_gas,2016,0.000223,True
GEO,HND,oil_gas,2016,0.000121,True
GEO,LTU,oil_gas,2016,0.000134,True
GEO,SRB,oil_gas,2016,0.000187,True
GEO,MH,oil_gas,2016,0.000088,True
GEO,BOL,oil_gas,2016,0.000086,True
GEO,MKD,oil_gas,2016,0.000098,True
GEO,ISL,oil_gas,2016,0.000082,True
GEO,DZA,oil_gas,2016,0.000080,True
GEO,LI,oil_gas,2016,0.000096,True
GEO,BIH,oil_gas,2016,0.000114,True
GEO,BLR,oil_gas,2016,0.000060,True
GEO,CIV,oil_gas,2016,0.000045,True
GEO,MNG,oil_gas,2016,0.000090,True
GEO,EST,oil_gas,2016,0.000059,True
GEO,ALB,oil_gas,2016,0.000037,True
GEO,AZE,oil_gas,2016,0.000037,True
GEO,ECU,oil_gas,2016,0.000037,True
GEO,LVA,oil_gas,2016,0.000036,True
GEO,LKA,oil_gas,2016,0.000036,True
GEO,LAO,oil_gas,2016,0.000034,True
GEO,WS,oil_gas,2016,0.000031,True
GEO,MDA,oil_gas,2016,0.000028,True
GEO,KV,oil_gas,2016,0.000046,True
GEO,MOZ,oil_gas,2016,0.000021,True
GEO,IRQ,oil_gas,2016,0.000004,True
AUS,AUS,coal,2016,0.839405,False
AUS,USA,coal,2016,0.110071,False
AUS,JPN,coal,2016,0.024555,False
AUS,VGB,coal,2016,0.018179,False
AUS,IND,coal,2016,0.006938,False
AUS,SGP,coal,2016,0.000025,False
AUS,GBR,coal,2016,0.000827,False
SVK,SVK,oil_gas,2016,0.777205,False
SVK,CZE,oil_gas,2016,0.093729,False
SVK,SWE,oil_gas,2016,0.081341,False
SVK,SGP,oil_gas,2016,0.047726,False
FRA,FRA,oil_gas,2016,0.837399,False
FRA,USA,oil_gas,2016,0.138273,False
FRA,SGP,oil_gas,2016,0.016715,False
FRA,NLD,oil_gas,2016,0.006372,False
FRA,LUX,oil_gas,2016,0.001119,False
FRA,CHE,oil_gas,2016,0.000121,False
VNM,VNM,oil_gas,2016,1.000000,False
AUS,AUS,oil_gas,2016,0.771202,False
AUS,HKG,oil_gas,2016,0.051609,False
AUS,NZL,oil_gas,2016,0.051999,False
AUS,FRA,oil_gas,2016,0.027783,False
AUS,BEL,oil_gas,2016,0.012528,False
AUS,CYM,oil_gas,2016,0.008909,False
AUS,SWE,oil_gas,2016,0.007798,False
AUS,VGB,oil_gas,2016,0.012590,False
AUS,GBR,oil_gas,2016,0.005575,False
AUS,JPN,oil_gas,2016,0.010893,False
AUS,USA,oil_gas,2016,0.011889,False
AUS,NLD,oil_gas,2016,0.003057,False
AUS,DNK,oil_gas,2016,0.004414,False
AUS,IDN,oil_gas,2016,0.002408,False
AUS,DEU,oil_gas,2016,0.005274,False
AUS,ZAF,oil_gas,2016,0.001979,False
AUS,CHE,oil_gas,2016,0.001952,False
AUS,KOR,oil_gas,2016,0.001772,False
AUS,SLE,oil_gas,2016,0.001755,False
AUS,SGP,oil_gas,2016,0.000935,False
AUS,THA,oil_gas,2016,0.000887,False
AUS,CHN,oil_gas,2016,0.001015,False
AUS,IRL,oil_gas,2016,0.000737,False
AUS,MH,oil_gas,2016,0.000389,False
AUS,TWN,oil_gas,2016,0.000348,False
AUS,ESP,oil_gas,2016,0.000290,False
AUS,ITA,oil_gas,2016,0.000014,False
VGB,CHN,oil_gas,2016,0.080613,True
VGB,GBR,oil_gas,2016,0.073173,True
VGB,USA,oil_gas,2016,0.234071,True
VGB,SAU,oil_gas,2016,0.038429,True
VGB,FRA,oil_gas,2016,0.023519,True
VGB,NOR,oil_gas,2016,0.034413,True
VGB,BRA,oil_gas,2016,0.039077,True
VGB,RUS,oil_gas,2016,0.048872,True
VGB,ITA,oil_gas,2016,0.019330,True
VGB,JPN,oil_gas,2016,0.038192,True
VGB,MEX,oil_gas,2016,0.015247,True
VGB,THA,oil_gas,2016,0.013453,True
VGB,EGY,oil_gas,2016,0.013849,True
VGB,IDN,oil_gas,2016,0.009032,True
VGB,MYS,oil_gas,2016,0.011322,True
VGB,ESP,oil_gas,2016,0.008239,True
VGB,CAN,oil_gas,2016,0.059388,True
VGB,NLD,oil_gas,2016,0.017572,True
VGB,CUW,oil_gas,2016,0.008608,True
VGB,TWN,oil_gas,2016,0.012638,True
VGB,KOR,oil_gas,2016,0.021509,True
VGB,AUT,oil_gas,2016,0.006748,True
VGB,PAN,oil_gas,2016,0.006501,True
VGB,POL,oil_gas,2016,0.001666,True
VGB,ARE,oil_gas,2016,0.010881,True
VGB,CHL,oil_gas,2016,0.005418,True
VGB,CYP,oil_gas,2016,0.006158,True
VGB,IRL,oil_gas,2016,0.006707,True
VGB,PRT,oil_gas,2016,0.004353,True
VGB,CHE,oil_gas,2016,0.008512,True
VGB,ARG,oil_gas,2016,0.005001,True
VGB,KWT,oil_gas,2016,0.005645,True
VGB,AUS,oil_gas,2016,0.013558,True
VGB,FIN,oil_gas,2016,0.006462,True
VGB,HUN,oil_gas,2016,0.004224,True
VGB,ZAF,oil_gas,2016,0.003653,True
VGB,IND,oil_gas,2016,0.008656,True
VGB,DEU,oil_gas,2016,0.012450,True
VGB,GRC,oil_gas,2016,0.005375,True
VGB,PHL,oil_gas,2016,0.003391,True
VGB,UKR,oil_gas,2016,0.003274,True
VGB,LBY,oil_gas,2016,0.001693,True
VGB,KAZ,oil_gas,2016,0.001795,True
VGB,VNM,oil_gas,2016,0.004488,True
VGB,VGB,oil_gas,2016,0.002809,True
VGB,BMU,oil_gas,2016,0.005058,True
VGB,SVN,oil_gas,2016,0.001213,True
VGB,QAT,oil_gas,2016,0.001139,True
VGB,HKG,oil_gas,2016,0.001723,True
VGB,CYM,oil_gas,2016,0.003045,True
VGB,NZL,oil_gas,2016,0.001124,True
VGB,LUX,oil_gas,2016,0.001389,True
VGB,DNK,oil_gas,2016,0.000863,True
VGB,JOR,oil_gas,2016,0.000745,True
VGB,PAK,oil_gas,2016,0.002124,True
VGB,HRV,oil_gas,2016,0.000662,True
VGB,NGA,oil_gas,2016,0.001034,True
VGB,CRI,oil_gas,2016,0.000634,True
VGB,SGP,oil_gas,2016,0.002267,True
VGB,PER,oil_gas,2016,0.000898,True
VGB,SWE,oil_gas,2016,0.001480,True
VGB,CZE,oil_gas,2016,0.001152,True
VGB,MLT,oil_gas,2016,0.001098,True
VGB,BGD,oil_gas,2016,0.000572,True
VGB,LBR,oil_gas,2016,0.000408,True
VGB,TUR,oil_gas,2016,0.002002,True
VGB,MAR,oil_gas,2016,0.000872,True
VGB,OMN,oil_gas,2016,0.000713,True
VGB,IRN,oil_gas,2016,0.000643,True
VGB,BEL,oil_gas,2016,0.002117,True
VGB,ISR,oil_gas,2016,0.000693,True
VGB,ROU,oil_gas,2016,0.000446,True
VGB,COL,oil_gas,2016,0.000944,True
VGB,BGR,oil_gas,2016,0.000663,True
VGB,SVK,oil_gas,2016,0.000259,True
VGB,SYC,oil_gas,2016,0.000143,True
VGB,BHS,oil_gas,2016,0.000223,True
VGB,HND,oil_gas,2016,0.000121,True
VGB,LTU,oil_gas,2016,0.000134,True
VGB,SRB,oil_gas,2016,0.000187,True
VGB,MH,oil_gas,2016,0.000088,True
VGB,BOL,oil_gas,2016,0.000086,True
VGB,MKD,oil_gas,2016,0.000098,True
VGB,ISL,oil_gas,2016,0.000082,True
VGB,DZA,oil_gas,2016,0.000080,True
VGB,LI,oil_gas,2016,0.000096,True
VGB,BIH,oil_gas,2016,0.000114,True
VGB,BLR,oil_gas,2016,0.000060,True
VGB,CIV,oil_gas,2016,0.000045,True
VGB,MNG,oil_gas,2016,0.000090,True
VGB,EST,oil_gas,2016,0.000059,True
VGB,ALB,oil_gas,2016,0.000037,True
VGB,AZE,oil_gas,2016,0.000037,True
VGB,ECU,oil_gas,2016,0.000037,True
VGB,LVA,oil_gas,2016,0.000036,True
VGB,LKA,oil_gas,2016,0.000036,True
VGB,LAO,oil_gas,2016,0.000034,True
VGB,WS,oil_gas,2016,0.000031,True
VGB,MDA,oil_gas,2016,0.000028,True
VGB,KV,oil_gas,2016,0.000046,True
VGB,MOZ,oil_gas,2016,0.000021,True
VGB,IRQ,oil_gas,2016,0.000004,True
ECU,CHN,oil_gas,2016,0.080613,True
ECU,GBR,oil_gas,2016,0.073173,True
ECU,USA,oil_gas,2016,0.234071,True
ECU,SAU,oil_gas,2016,0.038429,True
ECU,FRA,oil_gas,2016,0.023519,True
ECU,NOR,oil_gas,2016,0.034413,True
ECU,BRA,oil_gas,2016,0.039077,True
ECU,RUS,oil_gas,2016,0.048872,True
ECU,ITA,oil_gas,2016,0.019330,True
ECU,JPN,oil_gas,2016,0.038192,True
