partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
New Zealand,2665.478924,746.3340988,0.002903649,0.038494212,0.010125372,0,0,0,0,0.215584241,0.28,Oceania,0,0,1,0,1
Nicaragua,454.8308058,136.4492417,0.000530862,0.158607414,0.051023339,0,0,0,0,0.23730949,0.3,Latin America,0,0,0,0,0
Niger,417.7277466,125.318324,0.000487557,0.395936394,,0,0,0,0,0.289919585,0.3,Africa,0,0,0,0,0
Nigeria,158.2133627,47.46400881,0.000184661,0.019987326,,0,0,0,0,0.294592681,0.3,Africa,0,0,0,0,0
North Macedonia,345.7744442,34.57744442,0.000134525,0.053848653,0.014199808,54.33010048,4.880919388,9.099995078,3.54E-05,0.089838218,0.1,Europe,0,0,0,0,0
Northern Mariana Islands,3027.252888,635.7231064,0.002473312,,,0,0,0,0,0,0.21,Oceania,0,0,0,1,1
Norway,2323.75285,511.2256269,0.001988948,0.012046756,0.003982353,0,0,0,0,0.156645579,0.22,Europe,0,0,1,0,1
Oman,1078.497958,161.7746937,0.000629392,0.048139238,,0,0,0,0,0.30136238,0.15,Asia,0,0,0,0,0
Other Africa,1583.276917,0,0,,,0,0,0,0,0.246175192,0,Nodata,0,0,0,0,0
Other America,3796.681324,0,0,,,27036.14675,2832.752975,4528.406909,0.017617989,0.104776505,0,Nodata,0,0,0,0,0
Other Asia,19424.84563,0,0,,,35018.30641,4812.184957,5865.375054,0.022819529,0.137419123,0,Nodata,0,0,0,0,0
Other Europe,8145.437929,0,0,,,7958.834498,587.4149984,1333.061307,0.00518634,0.073806661,0,Nodata,0,0,0,0,0
Other countries,30.51669983,0,0,,,0,0,0,0,0.211703606,0,Nodata,0,0,0,0,0
Pakistan,1247.101465,361.6594248,0.001407054,0.124967582,,0,0,0,0,0.533758714,0.29,Asia,0,0,0,0,0
Palestinian Authority or West Bank and Gaza Strip,0.791001899,0.118650285,4.62E-07,,3.05E-05,0,0,0,0,0,0.15,Asia,0,0,0,0,0
Panama,4195.562756,1048.890689,0.004080761,0.306582951,0.208602492,34444.26359,2070.060734,5769.226017,0.022445456,0.060098853,0.25,Latin America,0,0,0,0,0
Papua New Guinea,775.2012283,232.5603685,0.000904788,0.76119523,0.073319362,90.43760227,9.021298831,15.14780441,5.89E-05,0.099751637,0.3,Oceania,0,0,0,0,0
Paraguay,134.1390519,13.41390519,5.22E-05,0.00751796,0.00342813,210.2354616,6.976575134,35.21329151,0.000136999,0.033184578,0.1,Latin America,0,0,0,0,0
Peru,8006.924996,2362.042874,0.009189644,0.262060544,0.065537005,0,0,0,0,0.158870069,0.295,Latin America,0,0,0,0,0
Philippines,15358.51885,4607.555656,0.017925921,0.506357751,0.082743865,3127.60823,465.4847775,523.8572954,0.002038092,0.14883091,0.3,Asia,0,0,0,0,0
Poland,18080.26785,3435.250891,0.013365012,0.108604928,0.026326069,0,0,0,0,0.168529273,0.19,Europe,0,1,1,0,1
