partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
Côte d’Ivoire,153.57303962109796,0.0,153.57303962109796,38.39325990527449,0.01037710529407594,0.01037710529407594,0.225416672688476
Democratic Republic of the Congo,54.51195910024884,397.1290711580216,-342.6171120577728,-95.93279137617638,0.01037710529407594,0.01037710529407594,0.1272811693205388
Denmark,2349.193542224869,34199.07510680289,-31849.881564578023,-7006.973944207165,0.01037710529407594,0.01037710529407594,0.1225813237918387
Dominican Republic,445.82885503730483,273.50769485068565,172.32116018661918,46.52671325038718,0.01037710529407594,0.01037710529407594,0.1196731371221362
Ecuador,386.9019027902614,0.0,386.9019027902614,96.72547569756534,0.01037710529407594,0.01037710529407594,0.4251018547738781
El Salvador,567.5995823111485,0.0,567.5995823111485,170.27987469334457,0.01037710529407594,0.01037710529407594,0.1633703275450014
Equatorial Guinea,4138.508915702155,0.0,4138.508915702155,1448.4781204957542,0.01037710529407594,0.01037710529407594,0.904658159728538
Estonia,1358.9433582655831,62.96810717238007,1295.975251093203,259.19505021864063,0.01037710529407594,0.01037710529407594,0.0399644722973961
Eswatini,150.2199453908368,0.0,150.2199453908368,41.310484982480126,0.01037710529407594,0.01037710529407594,0.2922978904097612
Ethiopia,231.44160020160243,0.0,231.44160020160243,69.43248006048073,0.01037710529407594,0.01037710529407594,0.3442346968211514
Fiji,55.73575934281436,0.0,55.73575934281436,11.147151868562872,0.01037710529407594,0.01037710529407594,0.3174325650953426
Finland,1776.0046229679995,0.0,1776.0046229679995,355.2009245935999,0.01037710529407594,0.01037710529407594,0.1567576030747513
France,26343.030389465697,0.0,26343.030389465697,8435.8286216186,0.01037710529407594,0.01037710529407594,0.2059219751719802
Gabon,207.0308323955563,0.0,207.0308323955563,62.10924971866689,0.01037710529407594,0.01037710529407594,1.740919601087571
Georgia,4244.448463068184,0.0,4244.448463068184,636.6672694602275,0.01037710529407594,0.01037710529407594,0.2853558378532963
Germany,37144.767185432145,0.0,37144.767185432145,11080.407000593792,0.01037710529407594,0.01037710529407594,0.1652098672920548
Ghana,1235.606928873095,0.0,1235.606928873095,308.90173221827376,0.01037710529407594,0.01037710529407594,0.2121664985186463
Greece,6605.021658163833,1061.846663667684,5543.174994496149,1330.361998679076,0.01037710529407594,0.01037710529407594,0.1472648255935781
Guatemala,457.99881505677297,0.0,457.99881505677297,114.49970376419324,0.01037710529407594,0.01037710529407594,0.2320449773638035
Honduras,1319.6182925597548,0.0,1319.6182925597548,395.8854877679264,0.01037710529407594,0.01037710529407594,0.2176412549430094
Hungary,1597.954756815909,4293.452379439373,-2695.497622623464,-242.59478603611174,0.01037710529407594,0.01037710529407594,0.0936424656423581
Iceland,251.65324976215092,0.0,251.65324976215092,50.330649952430186,0.01037710529407594,0.01037710529407594,0.2968656069200548
Indonesia,7600.109351820865,0.0,7600.109351820865,1672.0240574005904,0.01037710529407594,0.01037710529407594,0.2059345946040845
