,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
26,Côte d’Ivoire,104.66589277674544,0.0,104.66589277674544,26.16647319418636,0.021692530275412975,0.021692530275412975,0.3315954869099142
28,Democratic Republic of the Congo,207.75122565135985,110.00750936772538,97.74371628363447,27.368240559417654,0.021692530275412975,0.021692530275412975,0.1038987720083375
35,Denmark,803.9745519486956,0.0,803.9745519486956,176.87440142871304,0.021692530275412975,0.021692530275412975,0.2314382954578416
36,Dominican Republic,124.17980732150602,0.0,124.17980732150602,33.52854797680663,0.021692530275412975,0.021692530275412975,0.1618566832979342
37,Ecuador,390.8325684089247,0.0,390.8325684089247,85.98316504996343,0.021692530275412975,0.021692530275412975,0.2471392937100895
110,El Salvador,302.33568630628133,0.0,302.33568630628133,90.7007058918844,0.021692530275412975,0.021692530275412975,0.2512311083437576
48,Equatorial Guinea,-0.0,757.4776797845376,-757.4776797845376,-265.11718792458817,0.021692530275412975,0.021692530275412975,0.0
39,Estonia,48.88323102825671,6.340747251722192,42.54248377653452,8.508496755306904,0.021692530275412975,0.021692530275412975,0.0816120877671176
115,Eswatini,-0.0,0.0,-0.0,-0.0,0.021692530275412975,0.021692530275412975,0.2676156375631041
40,Ethiopia,23.541901521380247,0.0,23.541901521380247,7.062570456414074,0.021692530275412975,0.021692530275412975,0.2658640086564389
42,Fiji,39.10408185241021,0.0,39.10408185241021,7.820816370482042,0.021692530275412975,0.021692530275412975,0.0849580516306377
41,Finland,1866.8077203412652,2655.9633335261065,-789.1556131848413,-157.83112263696827,0.021692530275412975,0.021692530275412975,0.130788724861335
43,France,51198.18122909078,0.0,51198.18122909078,17629.24023255632,0.021692530275412975,0.021692530275412975,0.2390860496856765
44,Gabon,551.59008685071,0.0,551.59008685071,165.477026055213,0.021692530275412975,0.021692530275412975,0.3719572041467534
46,Georgia,30.968551274776228,43.08111177315138,-12.11256049837515,-1.8168840747562722,0.021692530275412975,0.021692530275412975,0.0
34,Germany,51332.83151260469,0.0,51332.83151260469,15306.856949526433,0.021692530275412975,0.021692530275412975,0.2337778578688858
47,Ghana,184.03207762025076,0.0,184.03207762025076,46.00801940506269,0.021692530275412975,0.021692530275412975,0.1936436106544078
49,Greece,2195.7951937332164,0.0,2195.7951937332164,636.7806061826327,0.021692530275412975,0.021692530275412975,0.2593377946826958
50,Guatemala,480.04313692675834,0.0,480.04313692675834,120.01078423168958,0.021692530275412975,0.021692530275412975,0.2324636907734938
52,Hungary,567.6029379927081,0.0,567.6029379927081,107.84455821861454,0.021692530275412975,0.021692530275412975,0.2156440230791788
57,Iceland,535.8305004915813,0.0,535.8305004915813,107.16610009831628,0.021692530275412975,0.021692530275412975,0.0221906909382805
54,India,12851.729602027592,0.0,12851.729602027592,6158.548825291622,0.021692530275412975,0.021692530275412975,0.3207021709871555
53,Indonesia,19055.61978644244,0.0,19055.61978644244,4763.90494661061,0.021692530275412975,0.021692530275412975,0.2789979124423963
56,Iraq,564.3164325326327,1117.4698667712896,-553.1534342386569,-82.97301513579853,0.021692530275412975,0.021692530275412975,0.0001190844194357
55,Ireland,3541.625100186641,54390.336473239244,-50848.7113730526,-6356.088921631575,0.021692530275412975,0.021692530275412975,0.0885328232614413
58,Israel,349.6592393743277,0.0,349.6592393743277,87.41480984358192,0.021692530275412975,0.021692530275412975,0.2614304305004246
59,Italy,39231.23224790138,0.0,39231.23224790138,12276.531429255161,0.021692530275412975,0.021692530275412975,0.311605449644257
60,Jamaica,111.25344765629936,0.0,111.25344765629936,27.81336191407484,0.021692530275412975,0.021692530275412975,0.0
61,Jordan,10.213282456222505,0.0,10.213282456222505,2.042656491244501,0.021692530275412975,0.021692530275412975,0.5363881608615889
62,Kazakhstan,428.36988443588,0.0,428.36988443588,85.67397688717601,0.021692530275412975,0.021692530275412975,0.2756278652154201
63,Kenya,255.1275568686949,0.0,255.1275568686949,76.53826706060848,0.021692530275412975,0.021692530275412975,0.5065243155525029
67,Korea,475.1651681571109,0.0,475.1651681571109,114.98997069402083,0.021692530275412975,0.021692530275412975,0.2977603163854259
64,Kyrgyzstan,34.29708598009814,0.0,34.29708598009814,3.429708598009814,0.021692530275412975,0.021692530275412975,0.0
68,Lao People’s Democratic Republic,166.48471888979864,0.0,166.48471888979864,39.956332533551674,0.021692530275412975,0.021692530275412975,0.1544200411118542
75,Latvia,143.10701138507548,60.9949436126116,82.11206777246389,12.316810165869583,0.021692530275412975,0.021692530275412975,0.051572813656826
69,Lebanon,3.4960284281902507,128.40384155392417,-124.90781312573391,-18.736171968860084,0.021692530275412975,0.021692530275412975,0.0593243891694749
72,Lesotho,368.9727614393141,0.0,368.9727614393141,92.24319035982853,0.021692530275412975,0.021692530275412975,0.3306747057302254
73,Lithuania,219.20410914554174,6.324165677319057,212.87994346822268,31.9319915202334,0.021692530275412975,0.021692530275412975,0.1092153459239418
74,Luxembourg,56367.44472429487,13512.647381542645,42854.79734275223,12522.171783552203,0.021692530275412975,0.021692530275412975,0.0178252254579127
