,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
115,Eswatini,-0.0,0.0,-0.0,-0.0,0.015498259235525726,0.015498259235525726,0.2676156375631041
40,Ethiopia,59.50358047483302,0.0,59.50358047483302,17.851074142449907,0.015498259235525726,0.015498259235525726,0.2658640086564389
42,Fiji,24.596054983265343,0.0,24.596054983265343,4.919210996653069,0.015498259235525726,0.015498259235525726,0.0849580516306377
41,Finland,1606.2356753519073,3137.4505927255773,-1531.21491737367,-306.242983474734,0.015498259235525726,0.015498259235525726,0.130788724861335
43,France,33591.298080877015,0.0,33591.298080877015,11566.603527210991,0.015498259235525726,0.015498259235525726,0.2390860496856765
44,Gabon,251.64601644046925,0.0,251.64601644046925,75.49380493214078,0.015498259235525726,0.015498259235525726,0.3719572041467534
46,Georgia,32.773371462859586,0.0,32.773371462859586,4.916005719428938,0.015498259235525726,0.015498259235525726,0.1657857016520884
34,Germany,21138.649175505194,0.0,21138.649175505194,6303.30082135118,0.015498259235525726,0.015498259235525726,0.2337778578688858
47,Ghana,234.46775055756729,0.0,234.46775055756729,58.61693763939182,0.015498259235525726,0.015498259235525726,0.1936436106544078
49,Greece,1658.796135559263,0.0,1658.796135559263,481.0508793121862,0.015498259235525726,0.015498259235525726,0.2593377946826958
50,Guatemala,443.2734925488615,0.0,443.2734925488615,110.81837313721537,0.015498259235525726,0.015498259235525726,0.2324636907734938
52,Hungary,376.7278612293244,0.0,376.7278612293244,71.57829363357163,0.015498259235525726,0.015498259235525726,0.2156440230791788
57,Iceland,456.2704106168524,0.0,456.2704106168524,91.2540821233705,0.015498259235525726,0.015498259235525726,0.0221906909382805
54,India,6002.856199886065,0.0,6002.856199886065,2876.5686909854026,0.015498259235525726,0.015498259235525726,0.3207021709871555
53,Indonesia,22158.26017442998,0.0,22158.26017442998,5539.565043607495,0.015498259235525726,0.015498259235525726,0.2789979124423963
56,Iraq,601.4095816000216,1180.9047856946663,-579.4952040946447,-86.9242806141967,0.015498259235525726,0.015498259235525726,0.0001190844194357
55,Ireland,2111.1764546700683,50983.169327966934,-48871.99287329687,-6108.999109162109,0.015498259235525726,0.015498259235525726,0.0885328232614413
58,Israel,130.17175060173517,0.0,130.17175060173517,32.54293765043379,0.015498259235525726,0.015498259235525726,0.2614304305004246
59,Italy,31897.451336492344,0.0,31897.451336492344,9981.58970310021,0.015498259235525726,0.015498259235525726,0.311605449644257
60,Jamaica,38.03148292482717,0.0,38.03148292482717,9.507870731206793,0.015498259235525726,0.015498259235525726,0.0
61,Jordan,5.023564835819667,0.0,5.023564835819667,1.0047129671639334,0.015498259235525726,0.015498259235525726,0.5363881608615889
62,Kazakhstan,74.63280616673059,0.0,74.63280616673059,14.926561233346119,0.015498259235525726,0.015498259235525726,0.2756278652154201
63,Kenya,254.0042429370118,0.0,254.0042429370118,76.20127288110353,0.015498259235525726,0.015498259235525726,0.5065243155525029
67,Korea,1390.186993889056,0.0,1390.186993889056,336.42525252115155,0.015498259235525726,0.015498259235525726,0.2977603163854259
