partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Colombia,3223.807628254338,1031.6184410413882,0.0045348049309642344,0.06147070600175837,0.027168537796540916,0.0,0.0,0.0,0.0,0.691897423197905,0.32,Latin America,0.0,0.0,1.0,0.0
Comoros,1.5866988355382758,0.7933494177691379,3.48741812723446e-06,0.05035152963630174,,0.0,0.0,0.0,0.0,0.0,0.5,Africa,0.0,0.0,0.0,0.0
Congo,217.57727362528885,65.27318208758665,0.0002869289033760485,0.32814012370918655,0.06836970371466394,0.0,0.0,0.0,0.0,0.2833776618712972,0.3,Africa,0.0,0.0,0.0,0.0
Cook Islands,1616.9033273066514,323.3806654613303,0.0014215219290110595,34.171205466659934,,0.0,0.0,0.0,0.0,0.0,0.2,Oceania,0.0,0.0,0.0,0.0
Costa Rica,405.63795992130395,121.69138797639118,0.000534932959994538,0.03470826523180028,0.015886330509655187,0.0,0.0,0.0,0.0,0.1565429119086864,0.3,Latin America,0.0,0.0,0.0,0.0
Croatia,152.06110190692826,27.370998343247084,0.00012031787462724412,0.007535282701587884,0.002262211040354759,0.0,0.0,0.0,0.0,0.2914993418230818,0.18,Europe,0.0,1.0,0.0,0.0
Cuba,4.61287709155561,1.6145069820444635,7.097075752019911e-06,0.00013232292318730873,,0.5235761333684342,0.0,0.10376141254513446,4.561160856900697e-07,0.0,0.35,Latin America,0.0,0.0,0.0,0.0
Curaçao,33.72202056169961,7.418844523573914,3.261187604750296e-05,,,285.62044562734866,15.732663049036796,56.603765911555996,0.0002488197443501993,0.055082411955772,0.22,Caribbean/American isl.,0.0,0.0,0.0,1.0
Cyprus,1619.104251768722,202.38803147109024,0.0008896605630244092,0.1284617913526342,0.03609092720720771,1702.4266304897346,64.3374255653714,337.38396515061305,0.0014830778589502585,0.0377915995985469,0.125,Europe,0.0,1.0,0.0,0.0
Czechia,1727.199137163441,328.1678360610538,0.0014425654505082893,0.01655995592886147,0.00928629124110103,0.0,0.0,0.0,0.0,0.1974208089317916,0.19,Europe,0.0,1.0,1.0,0.0
Côte d’Ivoire,70.54481230557134,17.636203076392835,7.752550506326611e-05,0.02100987877292144,0.002374000372307693,0.0,0.0,0.0,0.0,0.225416672688476,0.25,Africa,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,7.275715745894195,2.037200408850375,8.95515831424188e-06,0.006426912698573059,0.0006503550975097854,278.522324275884,35.450647115708804,55.19707249887807,0.00024263617882792416,0.1272811693205388,0.28,Africa,0.0,0.0,0.0,0.0
Denmark,1597.899790275498,351.53795386060955,0.0015452961901097043,0.011056753616535835,0.002869606794593166,16724.948764093333,2050.1663598532373,3314.521418962659,0.014570026549084741,0.1225813237918387,0.22,Europe,0.0,1.0,1.0,0.0
Djibouti,1.4462086505661125,0.3615521626415281,1.5893168100916157e-06,0.010554885602796023,,0.0,0.0,0.0,0.0,0.0,0.25,Africa,0.0,0.0,0.0,0.0
Dominica,-0.0,-0.0,-0.0,-0.0,,1.0743077771233471,0.0,0.21290445717108478,9.358888362145556e-07,0.0,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
Dominican Republic,188.97031825395655,51.02198592856827,0.00022428326614915223,0.019952362740590254,0.005222975609008267,196.11654948749361,23.469882718737033,38.866038578539495,0.0001708479573272149,0.1196731371221362,0.27,Latin America,0.0,0.0,0.0,0.0
Ecuador,173.7751909448247,43.44379773620617,0.00019097094464023512,0.008619024741859795,0.0035017339104315096,0.0,0.0,0.0,0.0,0.4251018547738781,0.25,Latin America,0.0,0.0,0.0,0.0
Egypt,814.5889314502879,183.28250957631477,0.0008056762026734905,0.03539943135235718,,0.0,0.0,0.0,0.0,0.1598337764648578,0.225,Africa,0.0,0.0,0.0,0.0
El Salvador,194.6857622560588,58.40572867681764,0.0002567408412482671,0.04043155147325256,0.012743438792718116,0.0,0.0,0.0,0.0,0.1633703275450014,0.3,Latin America,0.0,0.0,0.0,0.0
Equatorial Guinea,1619.5879295790303,566.8557753526605,0.002491793732011881,6.626657633146817,0.7151650556301996,0.0,0.0,0.0,0.0,0.904658159728538,0.35,Africa,0.0,0.0,0.0,0.0
