iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,total_loss_cit,total_loss_etr,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2017.0,0.0,-3.663323039335814,0.0,-3.6658344837131405,0.0,0.006214947127625416,0.0,-3.6837693427997027,0.0,-3.662622151590067,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.414815547790461,729772.2581859297,-628457.57180211,-1.099750345113942,-1.5206451394706282,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
AGO,2018.0,0.0,-1.3888494983420445,0.0,-1.3897307406195396,0.0,0.0022666436068188934,0.0,-1.3961964136778051,0.0,-1.3883532528884621,79450688259.3664,1118847264.51,31273533.0,0.3,0.4067795756096148,1341207.2304346426,-1041710.8417332105,-0.41691922218586186,-0.565314080880852,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
