partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Curaçao,37.95806660536704,8.350774653180748,3.3781613107741626e-05,,,216.81158295538143,1.66647569739377,40.186067920935336,0.00016256578044641446,0.0076862853666666,0.22,0.0,0.0,0.0,0.0,0.0
Cyprus,418.8374295825267,52.354678697815835,0.0002117917886188056,0.023075747602711603,0.0076431967503987445,13233.755660906876,141.0454372393034,2452.879115539275,0.009922697800214937,0.01065800524457,0.125,2268818310.86,2268818310.86,2268818310.86,2268818310.86,2268818310.86
Czechia,3906.025355788417,742.1448175997992,0.0030022183736598132,0.03220807346821709,0.019717044137511873,0.0,0.0,0.0,0.0,0.1788355100725379,0.19,23042198358.5,23042198358.5,23042198358.5,23042198358.5,23042198358.5
Côte d’Ivoire,64.59112157353857,16.147780393384643,6.532304995085931e-05,0.021845682852528997,0.0017904522008422197,0.0,0.0,0.0,0.0,0.2617675975265239,0.25,739174897.9599999,739174897.9599999,739174897.9599999,739174897.9599999,739174897.9599999
Democratic People’s Republic of Korea,1.7510198508796984,0.569081451535902,2.302120488337617e-06,,,4.856437205282526,0.0010464446402015082,0.900141554823683,3.641366820462864e-06,0.0002154757893427,0.325,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,26.836248206285493,7.514149497759939,3.0397190884605117e-05,0.0209407251033126,0.001616969063048311,0.0,0.0,0.0,0.0,0.3113885778595646,0.28,358829479.9099999,358829479.9099999,358829479.9099999,358829479.9099999,358829479.9099999
Denmark,1791.2533285753946,394.0757322865868,0.0015941651494792526,0.010727667247811974,0.0027605095086639213,39183.364029232354,4263.725571382096,7262.64393620296,0.029379768677944684,0.1088146890144804,0.22,36734522350.79,36734522350.79,36734522350.79,36734522350.79,36734522350.79
Djibouti,1.5377350148441993,0.3844337537110498,1.555160194446984e-06,0.011799164392062802,,0.0,0.0,0.0,0.0,0.0,0.25,32581438.9,32581438.9,32581438.9,32581438.9,32581438.9
Dominica,0.17303652001497677,0.04325913000374419,1.7499732106977184e-07,0.0019316665141810567,,0.0,0.0,0.0,0.0,0.1298487115250126,0.25,22394719.630000003,22394719.630000003,22394719.630000003,22394719.630000003,22394719.630000003
Dominican Republic,514.4244282394845,138.89459562466084,0.0005618740400761905,0.04483793078735514,0.010250700102667942,0.0,0.0,0.0,0.0,0.160296484969114,0.27,3097703064.92,3097703064.92,3097703064.92,3097703064.92,3097703064.92
Ecuador,946.3668534193483,236.59171335483708,0.0009570908157612119,0.04221669940475886,0.017332490293422428,0.0,0.0,0.0,0.0,0.2135850162537135,0.25,5604221000.0,5604221000.0,5604221000.0,5604221000.0,5604221000.0
Egypt,1572.5412533581875,353.8217820055922,0.0014313247626975456,0.04783234003294472,,0.0,0.0,0.0,0.0,0.2298787396609965,0.225,7397124660.05,7397124660.05,7397124660.05,7397124660.05,7397124660.05
El Salvador,440.4550463165095,132.13651389495283,0.0005345353904508487,0.07181207901852268,0.023106848628001848,0.0,0.0,0.0,0.0,0.1899566191507718,0.3,1840031867.91,1840031867.91,1840031867.91,1840031867.91,1840031867.91
Equatorial Guinea,9.598398974610411,3.359439641113644,1.3590031455547065e-05,0.04038448231041731,0.005097329711923673,5.668272780154017,0.6294615665774335,1.0506154322231727,4.250082840262911e-06,0.1110499778312239,0.35,83186398.56,83186398.56,83186398.56,83186398.56,83186398.56
Estonia,257.00119401985813,51.40023880397163,0.00020793076726839018,0.024225201539618026,0.006444211241709229,1007.4144107062918,19.45451476354338,186.72445162444788,0.0007553614418429673,0.0193113326122702,0.2,2121767231.53,2121767231.53,2121767231.53,2121767231.53,2121767231.53
Eswatini,28.718972103065806,7.897717328343097,3.1948848136953626e-05,0.04460529280767268,0.006747815461312741,0.0,0.0,0.0,0.0,0.2543214175533756,0.275,177057851.91,177057851.91,177057851.91,177057851.91,177057851.91
Ethiopia,176.95362227472728,53.086086682418184,0.00021475057299341909,0.054614331480698636,0.008960598587515885,0.0,0.0,0.0,0.0,0.2047798612164443,0.3,972017513.4100002,972017513.4100002,972017513.4100002,972017513.4100002,972017513.4100002
Falkland Islands (Malvinas),0.3276563817353617,0.08519065925119405,3.446240631246258e-07,,,0.0,0.0,0.0,0.0,0.2112348392907039,0.26,0.0,0.0,0.0,0.0,0.0
Faroe Islands,7.829524651370856,1.409314437246754,5.701137564296574e-06,,,0.0,0.0,0.0,0.0,0.0817778253964614,0.18,0.0,0.0,0.0,0.0,0.0
Fiji,16.545534971164408,3.3091069942328817,1.3386419446574118e-05,0.022945658021228898,0.004842195779083212,1.246791391342616,0.037331170276358086,0.23109302027485717,9.3484680488309e-07,0.0299417934191523,0.2,144214953.05,144214953.05,144214953.05,144214953.05,144214953.05
Finland,1598.420841983004,319.68416839660085,0.0012932269570141812,0.012831372896786333,0.00521626282145088,2784.998586504644,278.05326529105673,516.2000149227111,0.00208819779176863,0.0998396432365992,0.2,24914260614.83,24914260614.83,24914260614.83,24914260614.83,24914260614.83
France,32769.601978905375,9309.024682157542,0.03765804770019543,0.033815198835460844,0.013126846359614489,0.0,0.0,0.0,0.0,0.1657857016520884,0.2840749999999999,275291141343.0899,275291141343.0899,275291141343.0899,275291141343.0899,275291141343.0899
