year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,sales_employees,average,loss_cit_gain_cit,226,554125.5994245106,178486.09657454173,99292.58755965332,79193.50901488846,746276.0173816935,10.611825540466729
2017,disaggregated,sales_employees,average,loss_cit_gain_cit,226,1037893.782269845,318024.97457130154,182601.8212210792,135423.15335022236,1045079.5651875236,12.958166809617287
2018,disaggregated,sales_employees,average,loss_cit_gain_cit,226,809089.0317004593,207657.1102146516,148864.0108299635,58793.09938468808,1259479.2582178037,4.668048243039894
2019,disaggregated,sales_employees,average,loss_cit_gain_cit,226,994005.6409160474,253457.2182015254,179851.50876833638,73605.70943318901,1323329.4093099632,5.562160782897584
2020,disaggregated,sales_employees,average,loss_cit_gain_cit,226,841487.8530629007,193921.13653071012,126922.91382373688,66998.22270697329,1195585.845617697,5.603798585651438
2021,disaggregated,sales_employees,average,loss_cit_gain_cit,226,1043727.4608886075,243193.7556143063,153163.1505259373,90030.60508836905,1528308.0194238108,5.890867805713118
2022,disaggregated,sales_employees,average,loss_cit_gain_cit,226,834494.8292480351,189665.37686476888,124129.1759026686,65536.20096210024,1821733.8969629752,3.5974628935299537
2016,disaggregated,sales_employees,average,loss_cit_gain_etr,226,554125.5994245106,178486.09657454173,31370.014031249244,147116.08254329252,746276.0173816935,19.713360622179543
2017,disaggregated,sales_employees,average,loss_cit_gain_etr,226,1037893.782269845,318024.97457130154,65169.95121538998,252855.0233559116,1045079.5651875236,24.19481078558268
2018,disaggregated,sales_employees,average,loss_cit_gain_etr,226,809089.0317004593,207657.1102146516,53379.18305162448,154277.92716302708,1259479.2582178037,12.249342429134911
2019,disaggregated,sales_employees,average,loss_cit_gain_etr,226,994005.6409160474,253457.2182015254,69622.47320174913,183834.74499977625,1323329.4093099632,13.8918355253387
2020,disaggregated,sales_employees,average,loss_cit_gain_etr,226,841487.8530629007,193921.13653071012,49458.507582604434,144462.62894810573,1195585.845617697,12.082999265809256
2021,disaggregated,sales_employees,average,loss_cit_gain_etr,226,1043727.4608886075,243193.7556143063,66318.19188254593,176875.5637317604,1528308.0194238108,11.573292915026675
2022,disaggregated,sales_employees,average,loss_cit_gain_etr,226,834494.8292480351,189665.37686476888,52125.342048178754,137540.03481659008,1821733.8969629752,7.54995200154556
2016,disaggregated,sales_employees,average,loss_etr_gain_etr,226,554125.5994245106,139634.72292841098,31370.014031249244,108264.7088971617,746276.0173816935,14.50732790221613
2017,disaggregated,sales_employees,average,loss_etr_gain_etr,226,1037893.782269845,242328.0196802499,65169.95121538998,177158.0684648599,1045079.5651875236,16.951634532541224
2018,disaggregated,sales_employees,average,loss_etr_gain_etr,226,809089.0317004593,163848.98321500068,53379.18305162448,110469.8001633762,1259479.2582178037,8.771069427510373
2019,disaggregated,sales_employees,average,loss_etr_gain_etr,226,994005.6409160474,177482.5133066806,69622.47320174913,107860.04010493148,1323329.4093099632,8.150656922313393
2020,disaggregated,sales_employees,average,loss_etr_gain_etr,226,841487.8530629007,135359.39110851672,49458.507582604434,85900.88352591227,1195585.845617697,7.184836106982494
2021,disaggregated,sales_employees,average,loss_etr_gain_etr,226,1043727.4608886075,163981.13662504483,66318.19188254593,97662.94474249892,1528308.0194238108,6.390265803834422
2022,disaggregated,sales_employees,average,loss_etr_gain_etr,226,834494.8292480351,133179.08873980565,52125.342048178754,81053.7466916269,1821733.8969629752,4.449263793507502
2016,disaggregated,three_factors,average,loss_cit_gain_cit,226,529719.080522535,171181.91166169613,96269.95617610616,74911.95548558995,746276.0173816935,10.038103026333106
2017,disaggregated,three_factors,average,loss_cit_gain_cit,226,956767.3679158648,295002.0788664407,165972.1137972243,129029.96506921636,1045079.5651875236,12.346425034735407
2018,disaggregated,three_factors,average,loss_cit_gain_cit,226,753504.5151043249,191872.5964124693,139395.8589852411,52476.737427228174,1259479.2582178037,4.166542409081365
2019,disaggregated,three_factors,average,loss_cit_gain_cit,226,935841.9390524057,238369.59987670815,169621.20544667443,68748.39443003375,1323329.4093099632,5.195108182918863
2020,disaggregated,three_factors,average,loss_cit_gain_cit,226,807259.3972750476,185802.71503337516,121752.33855836486,64050.37647501024,1195585.845617697,5.357237768394518
2021,disaggregated,three_factors,average,loss_cit_gain_cit,226,991567.0815724088,229396.1349650369,143386.06341430527,86010.07155073166,1528308.0194238108,5.627796913815739
2022,disaggregated,three_factors,average,loss_cit_gain_cit,226,795734.0019262482,180602.20099581717,117846.52335927862,62755.67763653851,1821733.8969629752,3.4448322963720948
