iso_partner,partner_jurisdiction,wb_income_group,main_commodity,pre_profit_payments_usd_m,post_profit_payments_usd_m,equity_income_usd_m,actual_resource_contribution_usd_m,resource_profit_base_usd_m,reported_profit_usd_m,reported_tax_usd_m,contribution_pct_profit,contribution_pct_gdp_per_yr,src_eiti_bilateral,src_grd_distributed,src_manual_distributed,src_rent_proxy,sanity_flag
Source country ISO3 code (where the resource is extracted),Source country name,World Bank income group (investment_hub = recognised tax haven),Dominant commodity in this country's resource-payment panel,"Royalties / production-sharing / fees deducted BEFORE CbCR profit, USD millions, 2016-2022 total (added back in the incl_resource view)","Resource corporate income tax / special taxes paid FROM profit, USD millions, 2016-2022 total","State-owned-enterprise / state-participation income, USD millions, 2016-2022 total","Total state take = pre-profit + post-profit + equity, USD millions, 2016-2022 total","Profit pool removed from the country in the excl_resource view, USD millions, 2016-2022 total","Country's reported profit before income tax (for scale), USD millions, 2016-2022 total","Country's reported corporate income tax paid (for scale), USD millions, 2016-2022 total",Total state take as a percentage of the country's absolute reported profit,Annual state take as a percentage of GDP (total take / 7 years / mean annual GDP),Share of the total state take sourced from eiti_bilateral,Share of the total state take sourced from grd_distributed,Share of the total state take sourced from manual_distributed,Share of the total state take sourced from rent-proxy estimate,Plausibility flags: ok / no_resource_correction / >50%GDP-per-yr check / mostly_rent_proxy (estimated) / negative_component check
CHE,Switzerland,investment_hub,oil_gas,55.87843754930675,37.25229169953783,31.043576416281525,124.1743056651261,178.65374589207684,908865.3686180785,89335.81689648055,0.013662563230231997,0.0023807100102696144,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
SLV,El Salvador,upper_middle_income,oil_gas,51.778902754379864,34.51926850291991,28.76605708576659,115.06422834306636,106.26373858029329,5828.833410836421,1723.7682805100642,1.9740524429665418,0.061234648843458236,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
MWI,Malawi,low_income,coal,59.33243775428843,43.350276496730174,6.062584940806836,108.74529919182545,118.83826439875313,15300.483337045507,2255.5354426128356,0.7107311370257925,0.146239668723305,0.0702531501654216,0.0,0.0,0.9297468498345783,mostly_rent_proxy(estimated)
HND,Honduras,lower_middle_income,minerals,40.56867033057499,61.2014155138537,6.497187074398424,108.26727291882712,116.74323952821177,4176.305800412793,1076.4388769496366,2.592417272416349,0.061262636102183556,0.26494136602220986,0.0,0.0,0.7350586339777901,mostly_rent_proxy(estimated)
AFG,Afghanistan,low_income,coal,63.22163452092806,15.140790350056678,25.734484788157836,104.09690965914258,75.7039517502834,-325.329401621258,1549.079179717864,31.99738761402516,0.0850215826374513,0.6642629653114236,0.0,0.0,0.3357370346885764,ok
ALB,Albania,upper_middle_income,oil_gas,76.86579909000001,8.170463810000001,16.526729109999998,101.56299200999999,5.452053229923666,1308.1310047028762,483.7818377504266,7.763977128045261,0.09360448928881088,1.0,0.0,0.0,0.0,ok
BTN,Bhutan,lower_middle_income,minerals,39.640388138087125,31.712310510469703,7.928077627617426,79.28077627617425,30.513043180554497,112.7772723033175,13.289981598942052,70.29854035035221,0.41786065492759966,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
FJI,Fiji,upper_middle_income,minerals,36.88773230726349,29.510185845810792,7.377546461452698,73.77546461452698,138.01270925772562,2136.0935342801918,525.2481850093068,3.4537562812944613,0.21068761668412392,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
ARM,Armenia,upper_middle_income,minerals,32.06408654,20.19955336,0.0,52.2636399,12.463075851211421,248.39668547565716,389.2914075899962,21.040393433559654,0.055490442454180035,1.0,0.0,0.0,0.0,ok
MKD,North Macedonia,upper_middle_income,minerals,25.63506744428747,20.062446776494934,4.500430004637352,50.197944225419754,181.12794129297075,32103.327189818436,9358.413904913172,0.15636368133624487,0.057328000819848006,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
