iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
BRB,1.274630160964407,1286.4251634288262,50.310358192801885,1333.8879457196294,Barbados,0.0107643925240991,0.25,1327982253.0674796,152040215.69000003,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.31865754024110177,13.84758541202622,0.0020958766652293065,0.00023995617374030496,0.002424402642869292,357.3890823482067,2.161661396186831e-06
BRN,25.71920377027171,0.0,24.229380537593148,-4.253521681411577,Brunei Darussalam,0.0957844430240283,0.185,,276049428.34,Asia,0.0,0.0,0.0,0.0,4.758052697500267,0.0,0.017236234561731994,,0.0,0.0,3.227696676948837e-05
BWA,5.406128238022235,5.764569667387204,129.74035389790856,243.1305810974397,Botswana,0.186843735564463,0.22,3262382766.624819,578760158.8800001,Africa,0.0,0.0,0.0,0.0,1.1893482123648915,1.077073730576219,0.002054993237037055,0.0003645642763112564,1.086393389520394e-05,1.6014878456424129,8.06812264774204e-06
CAF,6.170313343611594,0.0,6.586871950450435,-1.6549923881524333,Central African Republic,0.3596602863227537,0.3,124239733.31384112,10941609.750000002,Africa,0.0,0.0,0.0,0.0,1.851094003083478,0.0,0.16917931139734513,0.014899371994041894,0.0,0.0,1.2557174840899557e-05
CAN,5987.982478521361,7730.494938680273,90927.0409927017,86973.10043361297,Canada,0.1069641170993803,0.267,190946819905.5688,117728819690.8,Northern America,0.0,1.0,0.0,0.0,1598.7913217652035,826.8855658571633,0.013580288377682105,0.008372966475984638,0.01456892549432866,2147.6527129401534,0.010845641619537563
CHE,10130.008727067892,8193.53340006135,11400.668626866245,5886.197072312259,Switzerland,0.0879305001908253,0.21148581,64693838122.85298,25394432074.89,Europe,0.0,1.0,0.0,0.0,2142.353100951022,720.4614901976279,0.08436310348004906,0.0331152573894706,0.015441569859065949,2276.292058243246,0.014532974778575921
CHL,724.5849318095653,909.1694259520862,12706.789124898363,22647.297400660012,Chile,0.1567827891839702,0.24,43557965538.699234,10593022184.2,Latin America,0.0,1.0,0.0,0.0,173.90038363429568,142.54211844155714,0.01641650329909404,0.003992389944837834,0.00171342478502143,252.58152287227014,0.0011796794320320001
CHN,21796.98666958833,35863.30279447114,527931.7499498809,580949.7836243516,China (People’s Republic of),0.1752069595428447,0.25,1024805726321.9308,324820989361.07996,Asia,0.0,0.0,0.0,0.0,5449.246667397082,6283.500241783695,0.016776153160901648,0.005317346036848027,0.06758814157925014,9963.387875225631,0.0369657851193463
CIV,56.454890203251374,62.25257596222016,249.57640199804266,652.022564694374,Côte d’Ivoire,0.2777989527513236,0.25,5547708964.04647,412928267.3899999,Africa,0.0,0.0,0.0,0.0,14.113722550812843,17.29370040837698,0.03417959889261542,0.0025440632596772646,0.00011732148435743666,17.294741761463396,9.574256165882646e-05
CMR,179.066585156972,0.0,382.31809473237524,73.71648576795326,Cameroon,0.3926815595888604,0.33,3940057166.3122807,123737043.10999998,Africa,0.0,0.0,0.0,0.0,59.09197310180076,0.0,0.4775608954003295,0.014997745110665041,0.0,0.0,0.0004008592954744627
COD,157.00862447035502,0.0,97.14291029899523,-15.554736989881436,Democratic Republic of the Congo,0.2885254831814473,0.28,2953088277.4414134,204696205.43000004,Africa,0.0,0.0,0.0,0.0,43.96241485169941,0.0,0.21476907575960527,0.014886928774709336,0.0,0.0,0.00029822565942160505
COG,445.70652442810353,0.0,78.59837870781634,-426.55436433944567,Congo,0.2154724035317379,0.3,1430852288.0170305,122384970.17000002,Africa,0.0,0.0,0.0,0.0,133.71195732843105,0.0,1.0925521094844994,0.09344916903598617,0.0,0.0,0.000907055192062167
COL,4542.135550225013,0.0,4111.751125739136,-12101.069478270132,Colombia,0.3457262067227979,0.4,40669888422.08344,14974648899.42,Latin America,0.0,1.0,0.0,0.0,1816.8542200900051,0.0,0.12132866902544712,0.04467320394966874,0.0,0.0,0.01232490411837153
