iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
BGD,1033.4453479853578,0.0,2078.1975320468496,1212.5515877025016,Bangladesh,0.2833190058659392,0.25,31812990371.631863,1656626826.4299998,Asia,0.0,0.0,0.0,0.0,258.36133699633945,0.0,0.15595626780540753,0.008121252795736054,0.0,0.0,0.0006791726944093628
BGR,1848.891994303564,629.9305010429846,5985.240007969933,4067.494235906903,Bulgaria,0.0843708006121163,0.1,17375027511.664433,4519443226.1900015,Europe,0.0,0.0,0.0,0.0,184.8891994303564,53.14774070298817,0.040909729401827764,0.010641088154032224,0.0004435567897107425,168.73164390557662,0.0004860312971134854
BHR,276.8129854963489,1007.4019276536335,2770.4137027857655,3064.220168778302,Bahrain,0.0350393590673214,0.0,,1105964584.3100002,Asia,0.0,0.0,0.0,0.0,0.0,35.298717868167394,0.0,,0.0007093480379797776,269.8402173655747,0.0
BHS,671.0344701905437,215.35878301374245,545.3765270385663,31.570304944423285,Bahamas,-0.003290905645247,0.0,1611698646.58551,446201895.5,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.0,-0.7087254347734488,0.0,0.0,0.00015164188790894843,57.68547709191422,0.0
BIH,309.5808579381493,129.7559406927195,1263.9442291083512,409.44327986183737,Bosnia and Herzegovina,0.0625670745796095,0.1,4521049903.704868,1544962123.72,Europe,0.0,0.0,0.0,0.0,30.95808579381493,8.118449618468768,0.020038087224606673,0.0068475434806516255,9.13658386191286e-05,34.7561090363889,8.138170667014085e-05
BLR,140.9217682780956,0.0,481.99462322988336,450.4772335523445,Belarus,0.2102804317151451,0.18,8935661525.480185,3323935084.8900003,Europe,0.0,0.0,0.0,0.0,25.36591829005721,0.0,0.0076312917196746785,0.0028387286400369887,0.0,0.0,6.668118098285729e-05
BLZ,11670.613332816285,0.0,12309.629432235295,1.0359516731911202e-05,Belize,0.0869804655754959,0.25,,85384192.75,Caribbean/American isl.,0.0,0.0,0.0,0.0,2917.6533332040713,0.0,34.170883851379756,,0.0,0.0,0.007669841388430125
BMU,22147.7678034111,29310.215389900328,5934.276341732226,4044.5136232516834,Bermuda,0.0141714040538857,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,415.36690519669656,,,0.020638379984060266,7850.962634411225,0.0
BOL,426.05274645182425,238.16532616037028,873.323708390187,625.0959491926759,Bolivia,-0.0283953210675186,0.25,,2376901376.68,Latin America,0.0,0.0,0.0,0.0,106.51318661295606,-6.762780903474001,0.04481178212018674,,0.0001677007976549737,63.79438197993359,0.00027999873658756297
BRA,20266.15718452238,35065.85736851698,120396.48699495006,127277.36484439172,Brazil,0.1387602504725475,0.34,236173995369.32605,74306913856.19,Latin America,0.0,0.0,0.0,0.0,6890.49344273761,4865.747151490042,0.0927301792680172,0.029175495938756252,0.024691135128528788,9392.654822955792,0.018113526782764924
BRB,599.388690950463,6743.641437452544,1880.1104519175012,6881.772176977788,Barbados,0.0179842185463378,0.25,,213177879.35999995,Caribbean/American isl.,0.0,0.0,0.0,0.0,149.84717273761575,121.27912140928615,0.7029208339415192,,0.0047484412042348104,1806.3353080493064,0.00039391384655697786
BRN,65.2213598521981,21.340709215962914,393.53355183949947,323.1711571438801,Brunei Darussalam,0.0386350822315263,0.185,,287987788.25,Asia,0.0,0.0,0.0,0.0,12.06595157265665,0.8245000554378183,0.04189744171437675,,1.5026763197384923e-05,5.716270195137923,3.171861910720106e-05
BTN,0.2176902830973547,0.0,2.8472165039558366,4.804642567207925,Bhutan,0.2700652444507476,,,53773669.88999999,Asia,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,
BWA,134.21166508703666,0.0,550.359212339438,387.7213105046485,Botswana,0.1863780148284791,0.22,4168244303.361346,905314655.81,Africa,0.0,0.0,0.0,0.0,29.526566319148067,0.0,0.032614700457632775,0.007083693797730935,0.0,0.0,7.76185703200501e-05
