iso3,year,fuel,production,unit,source
PAN,2016,crude_oil_lease_condensate,0.446,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PER,2016,crude_oil_lease_condensate,141.22450109289616,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PHL,2016,crude_oil_lease_condensate,31.9472,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PNG,2016,crude_oil_lease_condensate,56.054223278688525,thousand_barrels_per_day,EIA_INTL_v2:productId=53
POL,2016,crude_oil_lease_condensate,31.874097267759563,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PRI,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PRK,2016,crude_oil_lease_condensate,0.103,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PRT,2016,crude_oil_lease_condensate,10.579991781,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PRY,2016,crude_oil_lease_condensate,4.687,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PSE,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PYF,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
QAT,2016,crude_oil_lease_condensate,1845.053293989071,thousand_barrels_per_day,EIA_INTL_v2:productId=53
REU,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ROU,2016,crude_oil_lease_condensate,93.41093606557376,thousand_barrels_per_day,EIA_INTL_v2:productId=53
RUS,2016,crude_oil_lease_condensate,11244.645296721312,thousand_barrels_per_day,EIA_INTL_v2:productId=53
RWA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SAU,2016,crude_oil_lease_condensate,12170.176155737705,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SDN,2016,crude_oil_lease_condensate,107.30558469945355,thousand_barrels_per_day,EIA_INTL_v2:productId=53
