country_name,iso3,cthi_2019_value,cthi_2021_value,cthi_2024_value,cthi_2019_gsw,cthi_2021_gsw,cthi_2024_gsw,cthi_2019_score,cthi_2021_score,cthi_2024_score,cthi_2019_rank,cthi_2021_rank,cthi_2024_rank,cthi_2019_share,cthi_2021_share,cthi_2024_share,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2025_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score,fsi_2025_share,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_value
Bermuda,BMU,2653.0011944663192,2508.116615237972,2478.1422444404807,0.0186729242984388,0.0157776811662519,0.0152187398515511,100.0,100.0,100.0,2.0,3.0,3.0,0.069842993800182,0.0566709750434633,0.0577899700860226,0.0006561,0.06111,0.0418592,0.0003779,0.000424475,0.0003570246335584,0.0002852882025763,12.0,14.0,34.0,36.0,40.0,49.0,54.0,85.33,79.87,66.27,73.05,72.725,70.125,71.34370689655172,0.0067071984938795,539.8775265,432.3802,217.7114,281.8268,289.0693612,244.634676127082,239.05341376637705
Bhutan,BTN,,,,1.2677100922e-06,1.4499919464e-06,,,,,,,,,,,,,,3.5e-07,3.91e-06,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,0.0001541825136186,0.0001390302333814,,,,,,,,,,,,,,6.11e-06,1.25e-05,5.3813714657e-06,2.08471192308e-05,,,,88.0,91.0,109.0,88.0,,,,80.35,79.1,79.25,76.91499999999998,0.0035136731425995,,,,94.82185,114.7429415,87.2225547873925,125.23195196386853
"Bonaire, Sint Eustatius and Saba",BES,,,,6.4547506826e-06,1.7749368451e-06,,,,,,,,,,,,,,1.68e-06,8.41e-06,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,0.000109462731639,0.0001055293651513,,,,,,,,,,,,,,1.03e-05,1.3e-05,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,74.3372863342279,79.74686684122757,66.34917633538146,8.55207504872e-05,0.0001122680696144,9.05932374329e-05,55.25788898861905,54.88221436663192,52.863602857142865,56.0,59.0,64.0,0.0019570057636586,0.0018018830038031,0.0015472545711433,1.57e-05,0.00158,0.0015438,1.8e-06,1.42e-05,8.43091984279e-05,9.2975806182e-06,50.0,60.0,62.0,103.0,113.0,113.0,131.0,78.53,73.33,71.38,68.725,62.2445,56.8,55.9085,0.0010310262316865,121.2662673,98.99626,90.55827,39.44938,58.3732222,80.3532278185222,36.74713676541259
Bouvet Island,BVT,,,,1.2942566628e-06,8.43171642e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,,54.40511564638658,125.7034832394802,0.0109954795953042,0.0101781954784048,0.0107920455618111,,29.28081484877269,38.458569795918365,,64.0,56.0,,0.0012292853260096,0.0029313896538487,,0.76839,0.6780047,0.0016138,0.001478888,0.0014811910223215,0.0015035877004265,,29.0,26.0,73.0,73.0,83.0,80.0,,52.4,51.84,49.0,51.675,49.15,49.9965,0.0040170564859497,,283.9142,263.6772,137.9975,157.2123276,135.344597078661,143.1731992328747
British Indian Ocean Territory,IOT,,,,4.7927831689e-06,4.6349776298e-06,,,,,,,,,,,,,,1.48e-06,6.32e-07,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,2769.1077227577584,2853.251187599445,3061.3658316871883,0.0212334005532122,0.0232284387235831,0.0286910004325615,100.0,100.0,100.0,1.0,1.0,1.0,0.0728996179556984,0.0644693017313464,0.0713906718762703,0.0015035,0.24099,0.2805277,0.0037524,0.004983806,0.0054558762349188,0.003640215145424,11.0,20.0,21.0,16.0,9.0,9.0,16.0,81.4,66.0,60.2,68.65,71.3,70.65,71.52346551724138,0.0157918935281763,617.8850568,385.4457,307.6909,502.7578,619.1401487,620.8089964276,562.8439446350901
