"year","cou","own","isic","GO","flag_go","GVA","flag_gva","EXGR","flag_exgr","IMGR","flag_imgr"
2008,"ARG","D_OTH","C10T12",33043.495520768,"e",10265.308713251,"e",7770.52000485078,"e",1047.899866506,"e"
2008,"ARG","D_OTH","C13T15",7291.89944,"e",3698.597372192,"e",1556.1843148816,"e",670.831010286,"e"
2008,"ARG","D_OTH","C16",2067.502784519,"e",907.879980847,"e",194.402141569101,"e",98.077029071,"e"
2008,"ARG","D_OTH","C17T18",3711.992313145,"e",1302.602057363,"e",239.998240675732,"e",382.705145207,"e"
2008,"ARG","D_OTH","C19",5768.187433128,"e",1032.027431891,"e",2248.43282923928,"e",485.098600614,"e"
2008,"ARG","D_OTH","C20",1459.277654481,"e",700.810901751,"e",333.987070988068,"e",217.279376425,"e"
2008,"ARG","D_OTH","C21",1924.140067641,"e",801.23515835,"e",93.1324568096063,"e",107.236669693,"e"
2008,"ARG","D_OTH","C22",3250.455714244,"e",1507.455798695,"e",341.291291449162,"e",557.361583661,"e"
2008,"ARG","D_OTH","C23",3314.362975451,"e",1846.945754281,"e",101.53014608058,"e",150.501666738,"e"
2008,"ARG","D_OTH","C24",4357.154609617,"e",2272.835988339,"e",549.4167934973,"e",365.098167149,"e"
2008,"ARG","D_OTH","C25",5309.892273785,"e",2874.701894888,"e",427.89560580664,"e",346.235859622,"e"
2008,"ARG","D_OTH","C26",616.170389507,"e",318.022242756,"e",48.1533084291216,"e",120.167443733,"e"
2008,"ARG","D_OTH","C27",1639.612063554,"e",567.232792997,"e",86.8716012754233,"e",208.746065014,"e"
2008,"ARG","D_OTH","C28",2287.669291907,"e",726.321692248,"e",202.638127030082,"e",317.441209083,"e"
2008,"ARG","D_OTH","C29",679.706524182,"e",263.007731804,"e",117.225808881511,"e",92.73877043,"e"
2008,"ARG","D_OTH","C30",89.57426345,"e",51.615155469,"e",8.46654766259052,"e",11.084001648,"e"
2008,"ARG","D_OTH","C31T33",2925.560150042,"e",1821.60397634,"e",195.978173335404,"e",175.106663077,"e"
2008,"ARG","D_OTH","D35_E36T39",9924.6911966,"e",4741.97486964,"e",99.5699639140692,"e",495.483268492,"e"
2008,"ARG","D_OTH","F41T43",30781.393490562,"e",15448.205437451,"e",0,"e",1942.484882756,"e"
2008,"ARG","D_OTH","G45T47",44425.499646998,"e",36457.025773787,"e",7878.8335818522,"e",754.281658301,"e"
2008,"ARG","D_OTH","H49",14751.777000211,"e",5898.388537821,"e",762.720158342573,"e",1351.788955946,"e"
2008,"ARG","D_OTH","H50",48.88773621,"e",21.008617206,"e",18.8284894982176,"e",2.969860212,"e"
2008,"ARG","D_OTH","H51",1427.337820393,"e",506.150282892,"e",398.651443474634,"e",164.560157655,"e"
2008,"ARG","D_OTH","H52",5298.472006772,"e",2937.328966074,"e",679.377640033142,"e",233.352201648,"e"
2008,"ARG","D_OTH","H53",471.784712405,"e",301.246254945,"e",24.7994993321603,"e",16.565033879,"e"
2008,"ARG","D_OTH","I55T56",15095.434712778,"e",6005.419730823,"e",1484.77661954937,"e",444.795367127,"e"
2008,"ARG","D_OTH","J58T60",3200.30432763,"e",1161.445624356,"e",245.990410922829,"e",391.146481409,"e"
2008,"ARG","D_OTH","J61",4809.654177498,"e",2430.153522199,"e",147.025009100385,"e",237.335099662,"e"
2008,"ARG","D_OTH","J62T63",3926.241057405,"e",2385.387601386,"e",566.474218301941,"e",213.482413516,"e"
2008,"ARG","D_OTH","K64T66",7545.652944012,"e",4948.43833479899,"e",92.7192339076127,"e",259.607367629,"e"
2008,"ARG","D_OTH","L68",21962.044235862,"e",16076.783340852,"e",220.660531994249,"e",688.952443626,"e"
2008,"ARG","D_OTH","M69T75",10964.346021444,"e",7459.236655258,"e",1226.42677486944,"e",367.857364155,"e"
2008,"ARG","D_OTH","N77T82",7191.729596198,"e",5403.561257734,"e",454.812470718211,"e",219.269039248,"e"
2008,"ARG","D_OTH","O84",28430.531499969,"",20317.059162799,"",0,"",934.631200325,""
2008,"ARG","D_OTH","P85",19038.413921235,"e",15654.685640027,"e",67.2927948272846,"e",254.738755149,"e"
2008,"ARG","D_OTH","Q86T88",18739.721049762,"e",12285.660165178,"e",51.7134987987521,"e",733.134980653,"e"
2008,"ARG","D_OTH","R90T93",6367.427234745,"e",2598.795902886,"e",206.846143352642,"e",373.146888386,"e"
2008,"ARG","D_OTH","S94T96",9104.31420888,"e",5930.199103601,"e",62.686605486935,"e",335.144692623,"e"
2008,"ARG","D_OTH","T97T98",2304.651,"",2304.651,"",0,"",0,""
2008,"AUS","F","A01T03",717.89975973,"e,a",86.19747501,"e,a",161.677315106672,"e",92.313272841,"e"
2008,"AUS","F","B05T09",52613.569723774,"e,a",34761.846689419,"e,a",34326.1157633504,"e",3158.98775743,"e"
2008,"AUS","F","C10T12",15244.243807438,"e,a",4236.298810677,"e",3225.90872447438,"e",1025.575243199,"e"
2008,"AUS","F","C13T15",691.730947529,"e,a",194.898529124,"e",69.9715011077478,"e",117.832164034,"e"
2008,"AUS","F","C16",760.900663551,"e,a",224.214650272,"e",114.182155689078,"e",63.470437118,"e"
2008,"AUS","F","C17T18",3896.489849508,"e,a",1389.11888326,"e",304.480621210754,"e",453.956594376,"e"
2008,"AUS","F","C19",4262.332020769,"e,a",736.343637283,"e",623.212658752633,"e",1523.909141031,"e"
2008,"AUS","F","C20",10701.98942428,"e,a",3235.563321978,"e",1918.09268736003,"e",1799.214076769,"e"
2008,"AUS","F","C21",6362.380636699,"e,a",2216.310613637,"e",1453.25453705159,"e",848.291143131,"e"
2008,"AUS","F","C22",4412.598672517,"e,a",1479.021341418,"e",456.359210258633,"e",757.548664067,"e"
2008,"AUS","F","C23",3650.160356546,"e,a",1175.458525022,"e",171.484397043158,"e",407.101256753,"e"
2008,"AUS","F","C24",10119.619244524,"e,a",1591.38590501,"e",6482.06115475279,"e",1626.342977485,"e"
2008,"AUS","F","C25",4628.443650178,"e,a",1546.588670635,"e",452.868323134002,"e",636.912067741,"e"
2008,"AUS","F","C26",6496.812306605,"e,a",2820.884634921,"e",741.542648833846,"e",1025.065091411,"e"
2008,"AUS","F","C27",3479.823787959,"e,a",1262.929952301,"e",291.041739437107,"e",562.803447016,"e"
2008,"AUS","F","C28",7164.913142938,"e,a",2634.834670453,"e",904.324760780828,"e",1159.800412799,"e"
2008,"AUS","F","C29",13776.368383954,"e,a",3553.35426435,"e",1856.93527736499,"e",3197.78594744,"e"
2008,"AUS","F","C30",2700.261864484,"e,a",1003.60613723,"e",403.561257215013,"e",468.687718347,"e"
2008,"AUS","F","C31T33",1420.97643907,"e,a",514.144815085,"e",103.657298655883,"e",290.382816658,"e"
2008,"AUS","F","D35_E36T39",12145.094499269,"e,a",5103.378480342,"e",63.7237687939242,"e",330.027854379,"e"
2008,"AUS","F","F41T43",18888.353475179,"e,a",5992.030162119,"e,a",159.706196043268,"e",1999.431324845,"e"
2008,"AUS","F","G45T47",31391.206529008,"e,a",15657.214543915,"e,a",5663.34539140288,"e",2200.00088028,"e"
2008,"AUS","F","H49",2821.398828142,"e,a",1172.549060031,"e,a",275.572430375543,"e",371.702831774,"e"
