Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2020,1100,Euro,2008,Western calendar year,236020626.1,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2020,1100,Euro,2008,Western calendar year,13924971.94,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2020,1100,Euro,2008,Western calendar year,46449700.14,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2020,1100,Euro,2008,Western calendar year,443596591.6,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2020,1100,Euro,2008,Western calendar year,43260503.78,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2020,1100,Euro,2008,Western calendar year,24846380.27,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2020,1100,Euro,2008,Western calendar year,149328555.3,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2020,1100,Euro,2008,Western calendar year,46517487.4,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2020,1100,Euro,2008,Western calendar year,54692011.84,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Education,10,2020,1100,Euro,2008,Western calendar year,16150698.37,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2020,1100,Euro,2008,Western calendar year,43648115.69,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2020,1100,Euro,2008,Western calendar year,125464858.5,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2020,1100,Euro,2008,Western calendar year,1128729980,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2020,1100,Euro,2008,Western calendar year,115170521,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2020,1100,Euro,2008,Western calendar year,1243900501,"3,4"
