year,cou,own,isic,GO,flag_go,GVA,flag_gva,EXP,flag_exgr,IMP,flag_imgr
2000,AUS,D,K64T66,39218.5789,,25011.61335,e,853.6873173,e,700.9269108,e
2000,AUS,D,L68,51851.50686,"e,a",37636.3195,"e,a",329.1241034,e,557.1717084,e
2000,AUS,D,M69T75,27939.13259,"e,a",11875.29909,"e,a",917.2953505,e,1147.993817,e
2000,AUS,D,N77T82,18259.44152,"e,a",8668.448168,"e,a",731.1095471,e,653.2652854,e
2000,AUS,D,O84,31474.5899,,22817.38341,,25.59140504,,766.0534057,
2000,AUS,D,P85,22895.76366,"e,a",18108.3873,e,1246.687939,e,626.1481695,e
2000,AUS,D,Q86T88,28995.2288,"e,a",20715.5882,e,148.1005316,e,1531.992782,e
2000,AUS,D,R90T93,12322.42446,"e,a",5164.396955,e,426.5745397,e,785.0135253,e
2000,AUS,D,S94T96,11588.64643,a,6536.111842,e,143.8216872,e,777.8645852,e
2000,AUS,D,T97T98,0,,0,,0,,0,
2000,AUS,F,A01T03,574.789899,"e,a",75.89611859,"e,a",180.5720833,e,64.48931012,e
2000,AUS,F,B05T09,14207.81036,,8813.121871,,7842.774744,e,904.131604,e
2000,AUS,F,C10T12,8923.548703,a,2917.144916,e,2203.933855,e,539.7546618,e
2000,AUS,F,C13T15,770.6590952,a,188.0074526,e,133.3070769,e,138.3228076,e
2000,AUS,F,C16,473.4090379,a,152.7494945,e,65.28653072,e,42.26117474,e
2000,AUS,F,C17T18,2689.029359,a,954.2926209,e,182.1012717,e,350.6113632,e
2000,AUS,F,C19,1714.260343,a,353.6846721,e,207.5876137,e,397.0115262,e
2000,AUS,F,C20,5625.013451,a,1327.303363,e,831.6941115,e,896.622562,e
2000,AUS,F,C21,3374.9429,a,1627.109236,e,724.7128966,e,283.1773512,e
2000,AUS,F,C22,2495.70791,a,920.1490858,e,251.0532935,e,392.9660782,e
2000,AUS,F,C23,1827.392724,a,711.0858603,e,133.7640927,e,195.7086979,e
