iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
TUR,2017,"copper, smelter",,850,,53400.0,tonnes (metric),BGS_WMS
TUR,2017,ferro-alloys,Ferro-chrome,861,,83894.0,tonnes (metric),BGS_WMS
TUR,2017,ferro-alloys,Ferro-silicon,872,,7500.0,tonnes (metric),BGS_WMS
TUR,2017,"gold, mine",,883,7108,23090.0,kilograms,BGS_WMS
TUR,2017,"lead, mine",,891,2607,75000.0,tonnes (metal content),BGS_WMS
TUR,2017,manganese ore,,898,2602,77895.0,tonnes (metric),BGS_WMS
TUR,2017,natural gas,,905,,364.0,million cubic metres,BGS_WMS
TUR,2017,perlite,,908,,1116629.0,tonnes (metric),BGS_WMS
TUR,2017,"iron, pig",,913,,10589000.0,tonnes (metric),BGS_WMS
TUR,2017,"aluminium, primary",,922,,76000.0,tonnes (metric),BGS_WMS
TUR,2017,"magnesium metal, primary",,923,,4000.0,tonnes (metric),BGS_WMS
TUR,2017,"copper, refined",,928,,95000.0,tonnes (metric),BGS_WMS
TUR,2017,"lead, refined",,929,,58000.0,tonnes (metric),BGS_WMS
TUR,2017,"steel, crude",,946,,37523900.0,tonnes (metric),BGS_WMS
TUR,2017,talc,Pyrophyllite,958,,470600.0,tonnes (metric),BGS_WMS
TUR,2017,vermiculite,,979,,1618.0,tonnes (metric),BGS_WMS
TUR,2017,"zinc, mine",,982,2608,155900.0,tonnes (metal content),BGS_WMS
ETH,2017,"silver, mine",,1995,7106,1000.0,kilograms (metal content),BGS_WMS
ETH,2017,"sodium carbonate, natural",,2001,,6785.0,tonnes (metric),BGS_WMS
ETH,2017,tantalum and niobium minerals,Tantalite -Ta content,20301,2615,48.0,tonnes (metric),BGS_WMS
ETH,2017,tantalum and niobium minerals,Tantalum & Niobium (Nb content),20303,2615,22.0,tonnes (metric),BGS_WMS
ETH,2017,coal,Lignite,614,,35000.0,tonnes (metric),BGS_WMS
ETH,2017,diatomite,,642,,5000.0,tonnes (metric),BGS_WMS
ETH,2017,feldspar,,643,,600.0,tonnes (metric),BGS_WMS
ETH,2017,gypsum and plaster,,653,,74299.0,tonnes (metric),BGS_WMS
ETH,2017,kaolin,,697,,5000.0,tonnes (metric),BGS_WMS
ETH,2017,"platinum group metals, mine",Platinum,744,7110,4.0,kilograms (metal content),BGS_WMS
ETH,2017,salt,,760,,438192.0,tonnes (metric),BGS_WMS
FJI,2017,"silver, mine",,1995,7106,350.0,kilograms (metal content),BGS_WMS
FJI,2017,bauxite,,589,2606,60000.0,tonnes (metric),BGS_WMS
ETH,2017,"gold, mine",,883,7108,4704.0,kilograms,BGS_WMS
FJI,2017,"gold, mine",,883,7108,1425.0,kilograms,BGS_WMS
DZA,2017,barytes,,1043,,44812.0,tonnes (metric),BGS_WMS
