iso3,year,cit_revenue_usd
GBR,2018,73369963000.0
GBR,2019,66280373999.99999
GBR,2020,64300141999.99999
GBR,2021,92542619000.0
GBR,2022,99793267000.0
GBR,2023,113769763000.0
GEO,2015,451760906.90605503
GEO,2016,446143933.072072
GEO,2017,301489275.732385
GEO,2018,290673928.647956
GEO,2019,307400790.23613
GEO,2020,295720480.138899
GEO,2021,315158069.480667
GEO,2022,661888759.344352
GEO,2023,767972699.715901
GHA,2015,1033526268.0000001
GHA,2016,1082360391.0
GHA,2017,1427765601.0
GHA,2018,2084312377.0000002
GHA,2019,2268522741.0
GHA,2020,2297061133.0
GHA,2021,2552179532.0
GHA,2022,2457031982.0
GHA,2023,2892111306.0
GIN,2015,195938651.70000002
GIN,2016,162653187.0
GIN,2017,166633530.5
GIN,2018,201161024.4
GIN,2019,177147960.5
GIN,2020,179845145.8
GIN,2021,203818444.2
GIN,2022,357196042.8
GIN,2023,360273788.2
GMB,2015,19823389.970000003
GMB,2016,21570182.72
GMB,2017,20837680.970000003
GMB,2018,22090271.4
GMB,2019,29983252.0
GMB,2020,33211069.15
GMB,2021,37262851.599999994
GMB,2022,41590323.36
GMB,2023,39554641.07
GNQ,2015,1162830040.0
GNQ,2016,421297394.9
GNQ,2017,478948399.3
GNQ,2018,474510443.5
GNQ,2019,745551567.4
GNQ,2020,517052019.9
GNQ,2021,415121893.9
GNQ,2022,624725713.5
GNQ,2023,1084075357.0
GRC,2015,4216151000.0
GRC,2016,4857093000.0
GRC,2017,3965179000.0
GRC,2018,4721454000.0
GRC,2019,3898011000.0
GRC,2020,2684162000.0
GRC,2021,4298079000.0
GRC,2022,5398979000.0
GRC,2023,7009861000.0
GRD,2015,14148149.0
GRD,2016,22333335.0
GRD,2017,22407409.0
GRD,2018,28444446.0
GRD,2019,26185187.0
GRD,2020,21592594.0
GRD,2021,16814816.0
GRD,2022,17185186.0
GRD,2023,24185187.0
GTM,2015,1541546972.0
GTM,2016,1896602109.0
GTM,2017,1883500664.0
GTM,2018,1813183402.0
GTM,2019,1855920783.0
GTM,2020,1804689313.0
GTM,2021,2394438727.0
GTM,2022,2809065868.0
GTM,2023,3087617154.0
GUY,2015,151088780.0
GUY,2016,163930465.0
GUY,2017,199433884.0
GUY,2018,222407878.0
GUY,2019,279839118.0
GUY,2020,311710158.0
GUY,2021,364015295.0
GUY,2022,501586326.0
GUY,2023,668605640.0
HKG,2015,18089721675.7506
HKG,2016,17937840188.0898
HKG,2017,17848779392.4229
HKG,2018,21256617975.3779
HKG,2019,19895565509.4356
HKG,2020,17472686841.342
HKG,2021,21527160454.1215
HKG,2022,22245271832.6709
HKG,2023,21776127796.3335
HND,2015,768023332.0
HND,2016,876412372.0
HND,2017,958980240.0
HND,2018,1033420331.0000001
HND,2019,945291587.0
HND,2020,584637221.0
HND,2021,872418378.0
HND,2022,1258260540.0
HND,2023,1212432407.0
HRV,2015,927717468.0
HRV,2016,1137996952.0
HRV,2017,1277524138.0
HRV,2018,1393205368.0
HRV,2019,1434606598.0
HRV,2020,1300656741.0
HRV,2021,1491435578.0
HRV,2022,2304468766.0
HRV,2023,2484337787.0
HUN,2015,2152585000.0
HUN,2016,2903511000.0
HUN,2017,2819446000.0
HUN,2018,2116477999.9999998
HUN,2019,2024104000.0
HUN,2020,2020433999.9999998
HUN,2021,2496721000.0
HUN,2022,2936015000.0
HUN,2023,4772845000.0
IDN,2015,35068556809.4011
IDN,2016,34289332748.860096
IDN,2017,37147720651.029205
IDN,2018,41204842377.98
IDN,2019,41907627322.2073
IDN,2020,29205675484.537098
IDN,2021,37295193820.5419
IDN,2022,49604035919.25391
IDN,2023,54451099234.3368
IRL,2015,7625605000.0
IRL,2016,8138904000.0
IRL,2017,9266321000.0
IRL,2018,12267354000.0
IRL,2019,12189626000.0
IRL,2020,13653598000.0
IRL,2021,18124608000.0
IRL,2022,23847429000.0
IRL,2023,25957286000.0
ISL,2015,398303000.0
ISL,2016,514453999.99999994
ISL,2017,748725000.0
ISL,2018,625339000.0
ISL,2019,513613000.0
ISL,2020,475901000.0
ISL,2021,515431000.0
ISL,2022,745928000.0
ISL,2023,1054783000.0
ISR,2015,8953562000.0
ISR,2016,9833704000.0
ISR,2017,11921748000.0
ISR,2018,12032392000.0
ISR,2019,12273438000.0
ISR,2020,11347006000.0
ISR,2021,17674458000.0
ISR,2022,23135991000.0
ISR,2023,18870173000.0
ITA,2015,37262502000.0
ITA,2016,40057536000.0
ITA,2017,40775661000.0
ITA,2018,38890423000.0
ITA,2019,39374676000.0
ITA,2020,39020812000.0
ITA,2021,40780189000.0
ITA,2022,55840650000.0
ITA,2023,63382912000.0
JAM,2015,342820623.0
JAM,2016,380772061.0
JAM,2017,478088950.0
JAM,2018,482451049.0
JAM,2019,506519327.0
JAM,2020,436416286.0
JAM,2021,456714702.0
JAM,2022,515200334.0
JAM,2023,648523510.0
JPN,2015,166106983000.0
JPN,2016,181707262000.0
JPN,2017,181278413000.0
JPN,2018,204588884000.0
JPN,2019,193069117000.0
JPN,2020,194289686000.0
JPN,2021,223834042000.0
JPN,2022,204062113000.0
JPN,2023,198887546000.0
KAZ,2015,8429981941.69973
KAZ,2016,5607407164.56169
KAZ,2017,7296596080.40875
KAZ,2018,9092296628.36389
KAZ,2019,8694850534.814741
KAZ,2020,6224799713.90236
KAZ,2021,9009079383.462479
KAZ,2022,13759541632.6038
KAZ,2023,14547998136.6091
KEN,2015,1362451258.0
KEN,2016,1527350719.0
KEN,2017,1756205952.0
KEN,2018,1563476886.0
KEN,2019,1658625060.0
KEN,2020,1689544672.0
KEN,2021,1688893500.0
KEN,2022,2130283894.0000002
KEN,2023,2061589311.0000002
KGZ,2015,63773546.526392095
KGZ,2016,52335028.15458161
KGZ,2017,62458672.6941464
KGZ,2018,79954104.4734152
KGZ,2019,92645834.3707713
KGZ,2020,108195856.693174
KGZ,2021,160810411.029387
KGZ,2022,303003267.310935
KGZ,2023,321542598.73317695
KHM,2015,423143556.463601
KHM,2016,522280917.011492
KHM,2017,683908410.099945
KHM,2018,805895626.387539
KHM,2019,1026900508.2276099
KHM,2020,1167435256.21756
KHM,2021,1191988141.77879
KHM,2022,1477330904.06105
KHM,2023,1572377608.16422
KIR,2015,5605478.3523277
KIR,2016,5829938.998553299
KIR,2017,7796746.9523084
KIR,2018,7439404.5929056
KIR,2019,6050196.0435368
KIR,2020,6677286.2564819
KIR,2021,9534248.856691198
KIR,2022,8947171.913844
KIR,2023,8663773.567606999
KOR,2015,45581932000.0
KOR,2016,50649247000.0
KOR,2017,58619762000.0
KOR,2018,72445607000.0
KOR,2019,70644416000.0
KOR,2020,55307879000.0
KOR,2021,69377057000.0
KOR,2022,90028495000.0
KOR,2023,71137066000.0
LAO,2015,271325055.287174
LAO,2016,215390596.143796
LAO,2017,239969020.826559
LAO,2018,246641702.045261
LAO,2019,254276986.34335598
LAO,2020,190747554.25989002
LAO,2021,280248721.92411596
LAO,2022,275378197.061044
LAO,2023,240126557.710425
LBR,2015,34416738.70999999
LBR,2016,48372210.86
LBR,2017,36360670.89
LBR,2018,30741592.54
LBR,2019,27433254.63
LBR,2020,28269428.25
LBR,2021,52113250.0
LBR,2022,56998554.53
LBR,2023,54296830.65
LCA,2015,28962963.0
LCA,2016,36666667.0
LCA,2017,37817676.0
LCA,2018,42596844.0
LCA,2019,41040714.0
LCA,2020,35843740.0
LCA,2021,31144642.0
LCA,2022,42164058.0
LCA,2023,57172102.0
LIE,2015,306169391.0
LIE,2016,258514583.00000003
LIE,2017,251982908.99999997
LIE,2018,277001499.0
LIE,2019,265607344.00000003
LIE,2020,602310957.0
LIE,2021,264034377.0
LIE,2022,305290863.0
LIE,2023,359125164.0
LKA,2015,1146643972.3550298
LKA,2016,989917875.428452
LKA,2017,871595873.560599
LKA,2018,979388550.547963
LKA,2019,1457303592.15299
LKA,2020,1155547470.85363
LKA,2021,1266980185.4712698
LKA,2022,1439545732.53708
LKA,2023,1700788909.39403
LSO,2015,82194447.92
LSO,2016,70467075.05000001
LSO,2017,60836728.45
LSO,2018,69683286.08999999
LSO,2019,59770397.379999995
LSO,2020,52647618.66
LSO,2021,59617441.309999995
LSO,2022,49437024.68
LSO,2023,49035418.24
LTU,2015,636730000.0
LTU,2016,694746000.0
LTU,2017,712862000.0
LTU,2018,816333000.0
LTU,2019,849846000.0
LTU,2020,941893000.0
LTU,2021,1372678000.0
LTU,2022,1656451000.0
LTU,2023,2146020000.0
LUX,2015,2546427000.0
LUX,2016,2721784000.0
LUX,2017,3277786000.0
LUX,2018,4478811000.0
LUX,2019,4210478000.0
LUX,2020,3517646000.0
LUX,2021,3876261000.0
LUX,2022,3596306000.0
LUX,2023,4284821000.0
LVA,2015,431181000.0
LVA,2016,469568000.0
LVA,2017,482807000.0
LVA,2018,192957000.0
LVA,2019,201907000.0
LVA,2020,296652000.0
LVA,2021,401756000.0
LVA,2022,434729000.0
LVA,2023,585921000.0
MAR,2015,4274536978.0
MAR,2016,4518881418.0
MAR,2017,5332852526.0
MAR,2018,5554703983.0
MAR,2019,5607050269.0
MAR,2020,5604098864.0
MAR,2021,5602777874.0
MAR,2022,7059917401.0
MAR,2023,7131478072.0
MDA,2015,148854828.0
MDA,2016,168774986.0
MDA,2017,220236459.0
MDA,2018,318801608.0
MDA,2019,305312457.0
MDA,2020,295734277.0
MDA,2021,339935947.0
MDA,2022,461856935.0
MDA,2023,518675519.99999994
MDG,2015,115951904.2
MDG,2016,142749013.4
MDG,2017,169472689.2
MDG,2018,188003959.29999998
MDG,2019,207177117.1
MDG,2020,180707455.2
MDG,2021,211134774.6
MDG,2022,257349610.99999997
MDG,2023,260000527.6
MDV,2015,206782894.332771
MDV,2016,210227028.58208302
MDV,2017,215887075.242302
MDV,2018,212510522.426777
MDV,2019,227962013.37631
MDV,2020,231769414.457893
MDV,2021,163871615.127811
MDV,2022,259025045.19972602
MDV,2023,314209796.568318
MEX,2015,37382195000.0
MEX,2016,37554786000.0
MEX,2017,40641033000.0
MEX,2018,42081641000.0
MEX,2019,41718148000.0
MEX,2020,38729166000.0
MEX,2021,44334501000.0
MEX,2022,56472188000.0
MEX,2023,70018020000.0
MHL,2015,0.0
MHL,2016,0.0
MHL,2017,0.0
MHL,2018,0.0
MHL,2019,0.0
MHL,2020,0.0
MHL,2021,0.0
MHL,2022,0.0
MHL,2023,0.0
MLI,2015,303569761.5
MLI,2016,348694076.0
MLI,2017,431448545.7
MLI,2018,363417882.2
MLI,2019,432048789.4
MLI,2020,567928584.5
MLI,2021,600292012.3
MLI,2022,545239510.3
MLI,2023,693895695.9
MLT,2015,650549131.0
MLT,2016,719081661.0
MLT,2017,829908359.0
MLT,2018,847725870.0
MLT,2019,899578073.0
MLT,2020,705012471.0
MLT,2021,926435409.0
MLT,2022,859955825.0
MLT,2023,904007596.0
MNG,2015,349439146.023278
MNG,2016,242344083.339665
MNG,2017,394362901.517061
MNG,2018,517589678.28595203
MNG,2019,623429585.37722
MNG,2020,497095978.599693
MNG,2021,776157310.433708
MNG,2022,800720641.164008
MNG,2023,1119700110.77723
MOZ,2015,912861476.9
MOZ,2016,590950294.5
MOZ,2017,734589428.6
MOZ,2018,957429550.0
MOZ,2019,850646707.6999999
MOZ,2020,849655572.1
MOZ,2021,987286063.6
MOZ,2022,1222895405.0
MOZ,2023,1427794039.0
MRT,2015,168125362.5
MRT,2016,165658317.6
MRT,2017,192185583.0
MRT,2018,203883881.5
MRT,2019,203852400.3
MRT,2020,251102098.39999998
MRT,2021,317214100.3
MRT,2022,294022541.90000004
MRT,2023,270218651.79999995
