iso3	year	resource_revenue	resource_taxes	total_taxes_revenue	cit_revenue	greenfieldfdi_outward	greenfieldfdi_inward	ip_payments	ip_receipts	fdi_inflows_wdi	external_debt_stocks	new_businesses_registered	imports	exports	gdp_pc	gdp_deflator	govt_exp_gdp	govt_exp_educ_gdp	physicians_per_1000	nurses_per_1000	health_exp_gdp	population	month_wage	who_gvt_health_expenditure	gdp	cthi_2021_rank	cthi_2021_share	cthi_2021_score	fsi_2022_rank	fsi_2022_score	region	region_tjn	eu28	oecd	g20	ukt	oecd_oct	physicians	nurses	resource_revenue_gdp	cit
GRL	2017.5					5575000.0	9800000.0						1370441620.082665	1126991687.5545993	50484.76820739009	121.03488454377188		333876034.8489428				56317.0	3541.8193775130826		2886304449.142633						Americas	Northern America	0.0	0.0	0.0	0.0	1.0				0.318
GTM	2017.5		0.0	7524110185.494672	2442535372.6300683	78446250.0	471009943.75	198257652.2222222	15782271.111111112	1408053997.7777777	22539563122.72222	5358.375	20433780814.900723	13010561824.287333	4298.660704726973	110.28412962138457	933036192995.5614	2175457789.2662873	0.7152999999999999	1.5288	4322265539.045043	16186162.5	336.5475	1533743372.7053165	71083842356.85593				45.0	74.75	Americas	Latin America	0.0	0.0	0.0	0.0	0.0	11577.962036249999	24745.40523		0.25
GUF	2017.5																														Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0				
GUM	2017.5												3287555555.5555553	949222222.2222222	35042.45860019412	109.528550769612						168712.8	2562.798009341007		5927600000.0				134.0	70.3	Oceania	Oceania	0.0	0.0	0.0	0.0	1.0				0.21
GUY	2017.5		0.0	928271378.835573	288440057.6586963	737500.0	30575000.0	16195451.893019548	2060374.0740740746	830376318.3988099	1782297335.7555554	511.625			6477.804253035127	97.19112161028336		235806461.7907171	1.5176	1.7902200000000001	236336291.41092804	776650.8	381.32000000000005	171599490.19290698	5332782224.13656						Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	1178.64525408	1390.375795176		0.275
HKG	2017.5	0.0	0.0	47361136667.63032	19182875488.748154	19766071857.499996	5415402749.999993	1933698510.519212	682656753.4475569	117411933303.72179		145189.625	635427759608.1816	640951281499.9108	44871.915088425754	93.7336615498488		12175525561.895164				7369720.0	2865.9138006775966		334673995830.2544	7.0	0.0407771568453471	77.92385409646192	4.0	64.95	Asia	Asia	0.0	0.0	0.0	0.0	0.0			0.0	0.1650000065565109
HMD	2017.5																														Oceania	Oceania	0.0	0.0	0.0	0.0	0.0				
HND	2017.5		0.0	4125502595.3742094	805060855.598645	83812500.0	520489756.25	83482870.44231132	0.0	1077458844.0947104	8889708708.788889		13754232880.356733	9589020776.061184	2365.3255619630067	259.37876813006335	550125789435.1699	1371619948.2816398	0.5202199999999999	0.7128333333333333	1853285707.0748215	9690078.0	303.17	717338911.0812237	23405275996.233772						Americas	Latin America	0.0	0.0	0.0	0.0	0.0	5040.972377159998	6907.410601		0.25
HRV	2017.5			15326430996.693163	1262181677.2534213	185244676.25	774563643.7499999	303333451.86559653	57690208.907191485	1802356773.99523		13735.625	27928064807.080357	27232269600.77889	14252.953788904399	102.57722684235206	2443123149829.68	2707144260.112479	3.3091299999999997	6.180983333333334	4063693284.3722367	4099533.8	1398.9099999999999	3357515819.1066504	59644716477.28462	53.0	0.0029646903101231	55.7140599182483	100.0	53.125	Europe	Europe	1.0	0.0	0.0	0.0	0.0	13565.890283593997	25339.15009223667		0.1800000071525574
HTI	2017.5	0.0	0.0	1196386200.897428		3387500.0	159575000.0	599180.0	27037435.136666667	122517509.58333333	2145613542.2888887		5079479745.368264	1596283078.18198	1436.8663719030012	165.12167558211456		260769350.20280227	0.2006888888888889	0.3592	682037763.352769	10918989.3	191.4924926130313	145492009.01063374	16153602432.758148						Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	2191.319830406667	3922.10095656	0.0	0.3
HUN	2017.5	0.0	0.0	38640493787.11438	2368432310.8108015	816398960.0	3875853281.2499995	1666752014.53898	1672764396.129962	32555214611.319492		24260.125	117941617951.7049	124739586901.9472	15167.719024868811	108.70250456598252	6533413325601.394	6860644399.791723	3.37732	6.79883	10438836825.146807	9792120.3	1074.9666666666667	7153186412.803074	151904565835.47443	24.0	0.0135254483487693	71.95281590469355	76.0	55.2	Europe	Europe	1.0	1.0	0.0	0.0	0.0	33071.123731596	66574.961259249	0.0	0.0900000035762787
IDN	2017.5	15147627628.671204	4938602129.576317	103907076865.28539		3577926458.7500005	20463264622.499996	1748406814.5003362	79913712.0316504	19917723731.87481	350186270036.75555	56145.5	202282167106.7469	206626954975.97232	3786.840741449114	135.648306098436	15456451984716.941	32821570999.018192	0.43323999999999996	2.6787199999999998	30446547833.04877	265096075.6	376.7554710563201	12579148281.819517	1020393555113.1975				66.0	55.8	Asia	Asia	0.0	0.0	1.0	0.0	0.0	114850.22379294399	710118.1596312319	0.014844887595346287	0.25
IMN	2017.5											2021.5			85997.84797292938	103.14085655972472			1.449			83894.3	4384.71		7237466686.32977	20.0	0.0192023259584119	100.0	61.0	65.0	Europe	Europe	0.0	0.0	0.0	1.0	1.0	121.56284070000001			0.0
IND	2017.5	0.0	0.0	433023316586.5498	87178176498.3859	11293097593.750002	39021795831.25	6379046919.321345	726183951.2084556	43664618960.737656	510041358588.55554	103979.125	566111232946.8208	504652378514.8104	1827.6630541790155	132.13756845334478	39575325354052.086	108427880823.4538	0.71045	1.9057666666666664	83406158010.7592	1357770726.4	233.33499999999998	23376300443.43903	2550046833266.1963				36.0	54.725	Asia	Asia	0.0	0.0	1.0	0.0	0.0	964628.2125708801	2587594.1913489066	0.0	0.4831600189208984
IOT	2017.5																														Africa	Africa	0.0	0.0	0.0	1.0	1.0				
IRL	2017.5	0.0	0.0	74015364947.40295	9925501962.690529	5704048850.0	7999314360.0	81287225356.69827	11025019679.957851	78111121610.65822		20141.625	354571136299.047	432265682378.0581	71986.6657006509	100.79111445204528	10026888478713.682	14128916482.583094	3.3779399999999997	12.845633333333332	27996852065.39438	4839960.4	3795.8	21362150586.661827	364403142864.5169	11.0	0.0329596344645817	77.07945533892205	27.0	47.2	Europe	Europe	1.0	1.0	0.0	0.0	0.0	16349.095833575999	62172.356646253334	0.0	0.125
IRN	2017.5	22395667573.23482	0.0	21608573045.15008		369023412.5	2943222216.2499995			2471604333.3333335	6508385839.244444	36158.0	88667098269.22055	89862140180.99055	4697.16627900573	171.09969983933732		13113259689.314037	1.417488888888889	2.064722222222222	25970505126.862694	84334156.9	445.6530727993185	14701644717.6993	388054663407.6919						Asia	Asia	0.0	0.0	0.0	0.0	0.0	119542.73035956225	174126.60784380554	0.0577126618620373	0.25
IRQ	2017.5	70157849867.18161				26712500.0	3208499999.999999	4188888.888888889	19566666.666666668	-4981255555.555555	25343902570.94286	2205.75	57601010051.33923	73336194017.44643	5178.506438173394	125.45332808420254	5363185890734.594	9406078063.312994	0.91906	2.0730999999999997	7574348710.277122	40008359.4	492.78168677156725	2488633650.9032917	204479962137.3976						Asia	Asia	0.0	0.0	0.0	0.0	0.0	36770.082790164	82941.32987213999	0.3431037894071986	0.15
ISL	2017.5	0.0	0.0	7635280579.0179405	552614347.2841637	580066874.9999999	254462500.00000003	93836368.91406764	129676749.48107632	-666890194.8855509		2319.875	8993716533.880602	9837328895.445616	62508.27717125708	104.80467631915045	741243141987.4789	1668521644.078541	3.94936	16.311439999999997	1889646597.1238918	348559.1	5617.204285714286	1484368683.698734	22102112945.756298				126.0	42.45	Europe	Europe	0.0	1.0	0.0	0.0	0.0	1376.5853671759999	5685.500846103999	0.0	0.2000000029802322
ISR	2017.5	0.0	0.0	97911522896.67606	11986715124.383202	2551041695.0	3399398417.5	1518720000.0	1543330000.0	16934040000.0		16586.375	100091857559.86014	109309200102.47333	41565.54253067376	101.09695813411768	13650041995494.186	22923666785.805344	3.53318	5.50598	27648600398.014545	8779450.0	2605.8900000000003	17384969373.882538	376530813629.5536				32.0	59.3	Asia	Asia	0.0	1.0	0.0	0.0	0.0	31019.377151	48339.476111	0.0	0.2300000041723251
ITA	2017.5	0.0	0.0	599686606653.5542	42576323555.21379	18583356185.000004	5387440073.749998	4866096226.983015	4048479667.0214367	17657575175.756878		100381.16666666667	550895197821.2972	608935066171.1929	33400.01052487638	102.1012120161211	90084715804736.5	82699767673.65005	3.9390500000000004	5.96862	180249286233.80188	60072690.5	2741.26	132020704423.35977	2019483491829.582	27.0	0.0100073186025778	57.61148897689016	21.0	54.85	Europe	Europe	1.0	1.0	1.0	0.0	0.0	236629.33151402502	358551.06197210995	0.0	0.2780599892139435
JAM	2017.5		0.0	3656706681.5128255	399737537.261982	120306250.0	661452320.0	51442320.38419048	5597946.9909082	654922536.2478067	15419580797.744446	2771.125	7092929161.742681	4668749530.7213955	5201.13391395388	214.57947748251212	385838631742.1764	819129881.3241456	0.48345555555555564	1.2396333333333334	844040867.0635437	2806462.2	865.89	515989732.9848827	14592762821.268688						Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	1356.799742046667	3478.9840918600007		0.25
JEY	2017.5																								5004000000.0	8.0	0.0389470082089178	100.0	19.0	63.45	Europe	Europe	0.0	0.0	0.0	1.0	1.0				0.0
JOR	2017.5		0.0	6268621568.301449	1016694834.0623507	181379375.0	2462112499.9999995	20721830.9859155	17651408.45070422	1374974024.236289	30570384380.54445	3705.125	22615602503.91237	14147699530.516434	4152.476229959025	101.4602701728048	1095535408936.692	1397954855.2910361	2.51607	3.31584	3108497788.962334	10041094.8	512.3720000000001	1678549570.2930067	41542578330.67644				65.0	71.925	Asia	Asia	0.0	0.0	0.0	0.0	0.0	25264.097393436004	33294.663781632		0.2
JPN	2017.5	0.0	0.0	906075685964.5812	190949226408.8612	51813254143.74999	8685690862.5	22698824231.943367	41163160080.46009	28275271708.441013		25230.125	876084162574.1074	848148049684.6194	39106.683892198474	99.9151192100803	90206971336962.33	163453416841.9578	2.4337333333333335	11.668377777777778	532091277480.76013	126697818.6	2790.963333333333	452470355621.096	4957178508539.567				6.0	63.125	Asia	Asia	0.0	1.0	1.0	0.0	0.0	308348.70438744	1478358.0110451598	0.0	0.2973999977111816
