iso3_o	iso3_d	emp	pi	txc	revt	t_at
LUX	USA	124622.0	994765322.725	323237719.197	156535228595.74	30146320250.784
LUX	VGB	10.0	191204174.6703	0.0	710381469.0	232088613.0
LUX	VNM	5941.0	46938519.727	4647929.972	456162162.304	156833308.065
LUX	ZAF	18740.0	-14249886.234	9538390.689	5951455469.917	2102256607.58
LVA	AFRIC	564.0	3447371.3724499997	0.0	95963083.341	7871087.833
LVA	AMER	68.0	-4511778.467	0.0	9645429.491	
LVA	ASIAT	186.0	4088506.3521499997	6956.613	27587476.995	6905656.876
LVA	CYP	4.0	-4370285.583	3638.989	7140795.843	5075798.183
LVA	CZE	54.0	948385.6	187357.146	2870133.5	6146614.507
LVA	EST	30.0	379671.825	78929.442	450844.785	86050.283
LVA	FJT	3632.0	91730490.79295	25318822.353	1036272336.662	165500911.987
LVA	LTU	29.0	748652.346	64518.808	551903.535	89688.09
LVA	LVA	3907.0	329816139.644	47213830.709	441631667.118	4145916447.569
LVA	MLT	5.0	1151071.9893	0.0	18157166.122	79277908.487
LVA	OTE	2282.0	84394679.1496	22911081.521	861941125.247	
LVA	POL	6.0	12404.464	1628.093	211973.491	22469.578
LVA	ROU	59.0	-890493.77	0.0	547028.707	24303545.512
LVA	SVK	290.0	4856909.43	1549036.233	11034157.611	
LVA	SVN	18.0	287354.919	149922.816	134988.782	6774968.719
LVA	SWE	37.0	1049614.485	365752.69	36229.211	28947123.919
MEX	CUW	0.0	0.0	0.0	0.0	0.0
MEX	ARE	29.0	-147240.942	0.0	0.0	69403.673
MEX	ARG	21634.0	400518098.904	68175607.912	5382568881.71	3275794923.46
MEX	AUS	395.0	9501348.821	2120186.583	138132074.77	73054521.602
MEX	AUT	10187.0	408450596.812	16399168.258	1654696757.757	1141182482.851
MEX	BEL	1017.0	10687878.368	2022867.172	188561219.856	142213969.509
MEX	BGR	3685.0	-58654839.41	10943.476	270584130.816	137623716.46
MEX	BHR	44.0	-9411.286	0.0	0.0	497815.003
MEX	BIH	0.0	35815.047	1686.626	19264.0	16027.62
MEX	BLR	2581.0	54880719.138	13216481.676	241558783.279	117053983.4
MEX	BMU	1.0	4588200.009	0.0	5969401.967	0.0
MEX	BOL	1.0	190833.704	32600.128	1221329.127	224657.932
MEX	BRA	75449.0	816906081.398	159734324.522	14575191154.179	8023640294.719
MEX	BRB	0.0	1234835.6472	28301.202	2180922.981	0.0
MEX	CAN	731.0	22386777.551	1805606.375	693712131.453	231474954.621
MEX	CHE	214.0	261708470.12790003	22812918.758	337077549.877	2601283.009
MEX	CHL	11106.0	229893931.818	51049572.805	11788631798.715	4729364680.458
MEX	CHN	2533.0	-19975497.352	4258832.254	362246198.48	265134183.823
MEX	COL	23169.0	-203297917.942	83913942.652	22382069407.813	16866631957.809
MEX	CRI	6129.0	-20910858.941	18171837.367	1404213641.239	931569231.805
MEX	CYM	0.0	14189793.0435	0.0	36784431.147	0.0
MEX	CZE	880.0	6573653.97	296829.276	108474752.484	85464853.487
MEX	DEU	6563.0	39928656.137	16874323.041	640036509.606	549710048.971
MEX	DNK	912.0	22752641.872	1799874.353	233538227.851	123765142.828
MEX	DOM	8528.0	341164211.056	81754416.194	1098237515.581	691395428.405
MEX	ECU	14327.0	261645552.662	69869758.461	2387804606.982	1250065269.246
MEX	ESP	85826.0	1083791033.295	128668301.254	9795867324.395	6127455703.785
MEX	FJT	442213.0	10339845291.3982	1686770268.023	123115595406.56	74828470361.045
MEX	FRA	9367.0	35183868.678	1949282.893	536384999.643	260810897.922
MEX	GBR	907.0	-43406771.324	2178455.763	173525771.723	414088887.374
MEX	GTM	9586.0	305078933.314	66418110.587	1955362350.44	1154298526.796
MEX	HKG	0.0	-8137.717	0.0	56.068	0.0
MEX	HND	3863.0	-18883481.612	13132512.474	531480116.814	348351161.506
MEX	HRV	2514.0	17446094.692	4228554.523	268766628.165	183244130.149
MEX	HUN	1797.0	96244735.0077	20683633.761	762290276.129	475797574.508
