iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
ESP,Spain,2022,-11046.518413678823,-11.046518413678823,benefits_from_ut,-35470.2315374156
EST,Estonia,2016,-1453.2423182319772,-1.4532423182319771,benefits_from_ut,-10396.35649065582
EST,Estonia,2017,-1932.7775173667847,-1.9327775173667847,benefits_from_ut,-10396.35649065582
EST,Estonia,2018,-1865.6934686035484,-1.8656934686035485,benefits_from_ut,-10396.35649065582
EST,Estonia,2019,-1778.684302153251,-1.778684302153251,benefits_from_ut,-10396.35649065582
EST,Estonia,2020,-1491.573677975179,-1.491573677975179,benefits_from_ut,-10396.35649065582
EST,Estonia,2021,-665.9055683434398,-0.6659055683434397,benefits_from_ut,-10396.35649065582
EST,Estonia,2022,-1208.479637981641,-1.208479637981641,benefits_from_ut,-10396.35649065582
FRA,France,2016,-5948.763980440159,-5.948763980440159,benefits_from_ut,-133236.95419531126
FRA,France,2017,-20129.16018586428,-20.12916018586428,benefits_from_ut,-133236.95419531126
FRA,France,2018,-21791.83060984444,-21.791830609844443,benefits_from_ut,-133236.95419531126
FRA,France,2019,-27676.079769106927,-27.676079769106927,benefits_from_ut,-133236.95419531126
FRA,France,2020,-3826.207165904887,-3.826207165904887,benefits_from_ut,-133236.95419531126
FRA,France,2021,-15753.125916509334,-15.753125916509335,benefits_from_ut,-133236.95419531126
FRA,France,2022,-38111.78656764124,-38.11178656764124,benefits_from_ut,-133236.95419531126
GRC,Greece,2016,-1204.2915141449505,-1.2042915141449504,benefits_from_ut,-2179.3269910493727
GRC,Greece,2017,-2689.732153331313,-2.6897321533313128,benefits_from_ut,-2179.3269910493727
GRC,Greece,2018,-236.87301085268504,-0.23687301085268503,benefits_from_ut,-2179.3269910493727
GRC,Greece,2019,-1596.81305817915,-1.59681305817915,benefits_from_ut,-2179.3269910493727
GRC,Greece,2020,594.8674823992843,0.5948674823992843,benefits_from_ut,-2179.3269910493727
GRC,Greece,2021,-66.53067823576788,-0.06653067823576787,benefits_from_ut,-2179.3269910493727
GRC,Greece,2022,3020.045941295209,3.020045941295209,benefits_from_ut,-2179.3269910493727
HRV,Croatia,2016,922.1714260601343,0.9221714260601344,benefits_from_ut,-340.30164579712107
HRV,Croatia,2017,-195.42751430547196,-0.19542751430547195,benefits_from_ut,-340.30164579712107
HRV,Croatia,2018,1156.7059304495979,1.156705930449598,benefits_from_ut,-340.30164579712107
HRV,Croatia,2019,-1226.686244954096,-1.226686244954096,benefits_from_ut,-340.30164579712107
HRV,Croatia,2020,-412.4104310588353,-0.4124104310588353,benefits_from_ut,-340.30164579712107
HRV,Croatia,2021,-158.1644135029225,-0.1581644135029225,benefits_from_ut,-340.30164579712107
HRV,Croatia,2022,-426.4903984855274,-0.4264903984855274,benefits_from_ut,-340.30164579712107
HUN,Hungary,2016,-615.8751807302052,-0.6158751807302052,benefits_from_ut,-8282.152035088915
HUN,Hungary,2017,-2263.051346255508,-2.263051346255508,benefits_from_ut,-8282.152035088915
HUN,Hungary,2018,-2549.6475864632607,-2.549647586463261,benefits_from_ut,-8282.152035088915
HUN,Hungary,2019,-517.633607017751,-0.5176336070177511,benefits_from_ut,-8282.152035088915
HUN,Hungary,2020,-6.338981049197855,-0.0063389810491978555,benefits_from_ut,-8282.152035088915
HUN,Hungary,2021,-768.4105084227524,-0.7684105084227524,benefits_from_ut,-8282.152035088915
HUN,Hungary,2022,-1561.1948251502404,-1.5611948251502403,benefits_from_ut,-8282.152035088915
ITA,Italy,2016,-5600.383832183749,-5.600383832183749,benefits_from_ut,-27371.646192953358
ITA,Italy,2017,-3700.558192322737,-3.700558192322737,benefits_from_ut,-27371.646192953358
ITA,Italy,2018,-1234.6938500709482,-1.2346938500709481,benefits_from_ut,-27371.646192953358
ITA,Italy,2019,-2334.310121599492,-2.334310121599492,benefits_from_ut,-27371.646192953358
ITA,Italy,2020,-1607.2342724070804,-1.6072342724070805,benefits_from_ut,-27371.646192953358
ITA,Italy,2021,-10157.365675621017,-10.157365675621017,benefits_from_ut,-27371.646192953358
ITA,Italy,2022,-2737.100248748336,-2.737100248748336,benefits_from_ut,-27371.646192953358
LTU,Lithuania,2016,-662.7485385483725,-0.6627485385483725,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2017,-1110.283544252006,-1.110283544252006,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2018,-1059.469587600267,-1.059469587600267,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2019,-1038.3274192317685,-1.0383274192317686,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2020,-578.8825931309823,-0.5788825931309823,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2021,-693.8475978447912,-0.6938475978447911,benefits_from_ut,-5698.3899352701355
LTU,Lithuania,2022,-554.8306546619476,-0.5548306546619476,benefits_from_ut,-5698.3899352701355
POL,Poland,2016,-6539.760009413647,-6.539760009413647,benefits_from_ut,-60071.15465334723
POL,Poland,2017,-10169.054552578194,-10.169054552578194,benefits_from_ut,-60071.15465334723
POL,Poland,2018,-9734.127646398796,-9.734127646398797,benefits_from_ut,-60071.15465334723
POL,Poland,2019,-13510.179732825782,-13.510179732825781,benefits_from_ut,-60071.15465334723
POL,Poland,2020,-5184.489166939461,-5.184489166939461,benefits_from_ut,-60071.15465334723
POL,Poland,2021,-7505.18357849873,-7.5051835784987295,benefits_from_ut,-60071.15465334723
POL,Poland,2022,-7428.359966692619,-7.42835996669262,benefits_from_ut,-60071.15465334723
PRT,Portugal,2016,-1122.6798594513916,-1.1226798594513916,benefits_from_ut,-765.9332164421797
PRT,Portugal,2017,-781.5412865248917,-0.7815412865248917,benefits_from_ut,-765.9332164421797
PRT,Portugal,2018,280.2852114323075,0.2802852114323075,benefits_from_ut,-765.9332164421797
PRT,Portugal,2019,5354.332882417888,5.3543328824178875,benefits_from_ut,-765.9332164421797
PRT,Portugal,2020,-1723.3637947176878,-1.7233637947176879,benefits_from_ut,-765.9332164421797
PRT,Portugal,2021,-2197.1308622177453,-2.1971308622177452,benefits_from_ut,-765.9332164421797
PRT,Portugal,2022,-575.8355073806589,-0.5758355073806589,benefits_from_ut,-765.9332164421797
ROU,Romania,2016,-2231.798917279378,-2.231798917279378,benefits_from_ut,-25919.757574717485
ROU,Romania,2017,-3979.8318022792187,-3.9798318022792185,benefits_from_ut,-25919.757574717485
ROU,Romania,2018,-4900.42223449353,-4.900422234493529,benefits_from_ut,-25919.757574717485
ROU,Romania,2019,-6122.233519928206,-6.122233519928206,benefits_from_ut,-25919.757574717485
ROU,Romania,2020,-2467.6414871342827,-2.4676414871342827,benefits_from_ut,-25919.757574717485
ROU,Romania,2021,-3865.3895663873222,-3.8653895663873223,benefits_from_ut,-25919.757574717485
ROU,Romania,2022,-2352.4400472155485,-2.3524400472155484,benefits_from_ut,-25919.757574717485
SVK,Slovak Republic,2016,-722.9390737341848,-0.7229390737341849,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2017,-2858.1001279999327,-2.8581001279999327,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2018,-1410.3112065662863,-1.4103112065662862,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2019,-1790.9142156987843,-1.7909142156987843,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2020,-227.8905052445051,-0.2278905052445051,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2021,-323.5948989898799,-0.32359489898987986,benefits_from_ut,-7309.706534535179
SVK,Slovak Republic,2022,24.043493698393263,0.024043493698393262,benefits_from_ut,-7309.706534535179
SVN,Slovenia,2016,-256.0906564099844,-0.25609065640998435,benefits_from_ut,-3246.9054830243913
SVN,Slovenia,2017,-721.101322735695,-0.721101322735695,benefits_from_ut,-3246.9054830243913
SVN,Slovenia,2018,-675.3596352609397,-0.6753596352609398,benefits_from_ut,-3246.9054830243913
SVN,Slovenia,2019,-589.9834202582639,-0.5899834202582639,benefits_from_ut,-3246.9054830243913
SVN,Slovenia,2020,-270.8319109244826,-0.2708319109244826,benefits_from_ut,-3246.9054830243913
SVN,Slovenia,2021,-394.1612219822841,-0.3941612219822841,benefits_from_ut,-3246.9054830243913
