iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
DEU,Germany,2017,-26294.481987524377,-26.294481987524378,benefits_from_ut
DEU,Germany,2018,-40478.95918008066,-40.47895918008066,benefits_from_ut
DEU,Germany,2019,-12688.202436520354,-12.688202436520355,benefits_from_ut
DEU,Germany,2020,-35127.13771680638,-35.12713771680638,benefits_from_ut
DEU,Germany,2021,-54244.58844981897,-54.24458844981897,benefits_from_ut
DEU,Germany,2022,-1373.3639054543019,-1.3733639054543019,benefits_from_ut
ESP,Spain,2016,824.2838708144959,0.824283870814496,benefits_from_ut
ESP,Spain,2017,-4222.87088163354,-4.22287088163354,benefits_from_ut
ESP,Spain,2018,-5149.245488015147,-5.149245488015147,benefits_from_ut
ESP,Spain,2019,-14727.214241066013,-14.727214241066013,benefits_from_ut
ESP,Spain,2020,-14404.458791455358,-14.404458791455358,benefits_from_ut
ESP,Spain,2021,-10043.01682587678,-10.04301682587678,benefits_from_ut
ESP,Spain,2022,-15872.625997389183,-15.872625997389182,benefits_from_ut
EST,Estonia,2016,-2116.3121921300854,-2.1163121921300854,benefits_from_ut
EST,Estonia,2017,-3058.904535993253,-3.058904535993253,benefits_from_ut
EST,Estonia,2018,-2639.1831497801054,-2.6391831497801053,benefits_from_ut
EST,Estonia,2019,-3129.720039620384,-3.1297200396203837,benefits_from_ut
EST,Estonia,2020,-2688.036542183943,-2.688036542183943,benefits_from_ut
EST,Estonia,2021,-10319.308444261744,-10.319308444261743,benefits_from_ut
EST,Estonia,2022,-2424.98496184456,-2.4249849618445602,benefits_from_ut
FRA,France,2016,-6182.896035421678,-6.1828960354216775,benefits_from_ut
FRA,France,2017,-24918.07320097538,-24.918073200975382,benefits_from_ut
FRA,France,2018,-29326.003424447663,-29.326003424447663,benefits_from_ut
FRA,France,2019,-31717.887360114033,-31.717887360114034,benefits_from_ut
FRA,France,2020,-18502.49620084944,-18.50249620084944,benefits_from_ut
FRA,France,2021,-33800.45942401632,-33.80045942401632,benefits_from_ut
FRA,France,2022,-37656.95099010572,-37.65695099010572,benefits_from_ut
GRC,Greece,2016,-1098.0116244800747,-1.0980116244800746,benefits_from_ut
GRC,Greece,2017,-2545.039882742206,-2.545039882742206,benefits_from_ut
GRC,Greece,2018,-369.6977326404814,-0.3696977326404814,benefits_from_ut
GRC,Greece,2019,-2570.156099372595,-2.570156099372595,benefits_from_ut
GRC,Greece,2020,-226.94809779458552,-0.22694809779458552,benefits_from_ut
GRC,Greece,2021,-628.5704441590125,-0.6285704441590125,benefits_from_ut
GRC,Greece,2022,705.393967160334,0.705393967160334,benefits_from_ut
HRV,Croatia,2016,-424.7991530169731,-0.4247991530169731,benefits_from_ut
HRV,Croatia,2017,-3267.0620408175446,-3.2670620408175446,benefits_from_ut
HRV,Croatia,2018,-1615.886877434854,-1.6158868774348538,benefits_from_ut
HRV,Croatia,2019,-1718.672485925876,-1.718672485925876,benefits_from_ut
HRV,Croatia,2020,-638.110374061545,-0.638110374061545,benefits_from_ut
HRV,Croatia,2021,-3075.404663454965,-3.075404663454965,benefits_from_ut
HRV,Croatia,2022,-1175.3824593165225,-1.1753824593165225,benefits_from_ut
HUN,Hungary,2016,334.31646854278745,0.33431646854278746,benefits_from_ut
HUN,Hungary,2017,-8455.309107795323,-8.455309107795323,benefits_from_ut
HUN,Hungary,2018,-945.783145578529,-0.945783145578529,benefits_from_ut
HUN,Hungary,2019,-791.9970852113227,-0.7919970852113226,benefits_from_ut
HUN,Hungary,2020,1840.8249803703602,1.8408249803703602,benefits_from_ut
HUN,Hungary,2021,-2963.4304136382334,-2.9634304136382332,benefits_from_ut
HUN,Hungary,2022,-3499.5481846066086,-3.4995481846066085,benefits_from_ut
ITA,Italy,2016,-10139.586105654149,-10.139586105654148,benefits_from_ut
ITA,Italy,2017,-6895.83392044598,-6.8958339204459795,benefits_from_ut
ITA,Italy,2018,-9449.236897056384,-9.449236897056384,benefits_from_ut
ITA,Italy,2019,-11363.33624858478,-11.36333624858478,benefits_from_ut
ITA,Italy,2020,-7754.026377159025,-7.754026377159025,benefits_from_ut
ITA,Italy,2021,-19636.63172455243,-19.63663172455243,benefits_from_ut
ITA,Italy,2022,-11253.863831035585,-11.253863831035586,benefits_from_ut
LTU,Lithuania,2016,-294.3606990717405,-0.2943606990717405,benefits_from_ut
LTU,Lithuania,2017,-688.1152342174585,-0.6881152342174585,benefits_from_ut
LTU,Lithuania,2018,-599.0447313235036,-0.5990447313235036,benefits_from_ut
LTU,Lithuania,2019,-446.07798330086365,-0.4460779833008636,benefits_from_ut
LTU,Lithuania,2020,-238.6855851549725,-0.2386855851549725,benefits_from_ut
LTU,Lithuania,2021,-583.7803041391375,-0.5837803041391375,benefits_from_ut
LTU,Lithuania,2022,-541.1583434500936,-0.5411583434500936,benefits_from_ut
LUX,Luxembourg,2016,3697.5995758598747,3.6975995758598748,benefits_from_ut
LUX,Luxembourg,2017,21624.157073570517,21.62415707357052,benefits_from_ut
LUX,Luxembourg,2018,19744.403992024996,19.744403992024996,benefits_from_ut
LUX,Luxembourg,2019,8943.057248479425,8.943057248479425,benefits_from_ut
LUX,Luxembourg,2020,182.51729339251688,0.18251729339251688,benefits_from_ut
LUX,Luxembourg,2021,-54525.214676951866,-54.52521467695187,benefits_from_ut
LUX,Luxembourg,2022,-3501.665454682752,-3.5016654546827524,benefits_from_ut
LVA,Latvia,2016,851.7103011253619,0.8517103011253618,benefits_from_ut
LVA,Latvia,2017,-1388.2793935700035,-1.3882793935700035,benefits_from_ut
LVA,Latvia,2018,1879.4888363923383,1.8794888363923383,benefits_from_ut
LVA,Latvia,2019,-312.606844720523,-0.31260684472052297,benefits_from_ut
