iso3,iso2,cthi_2019_rank,cthi_2019_share,cthi_2019_score,cthi_2021_rank,cthi_2021_share,cthi_2021_score,fsi_2009_rank,fsi_2009_score,fsi_2009_gsw,fsi_2009_value,fsi_2011_rank,fsi_2011_score,fsi_2011_gsw,fsi_2011_value,fsi_2013_rank,fsi_2013_score,fsi_2013_gsw,fsi_2013_value,fsi_2015_rank,fsi_2015_score,fsi_2015_gsw,fsi_2015_value,fsi_2018_rank,fsi_2018_score,fsi_2018_gsw,fsi_2018_value,region,subregion,continent,country,region_tjn,g7,g24,g77,eu27,g20,gafilat,cfatf,ukt,mena,latam,gbr_ot,gbr_cd,gbr_oct,nld_oct,fra_oct,dnk_oct,eu28_oct,usa_oct,oecd_oct,opec,efta,fsi_2020_rank,fsi_2020_score,fsi_2020_gsw,fsi_2020_value,fsi_2022_rank,fsi_2022_score,fsi_2022_gsw,fsi_2022_value,legal_old,legal_new,gmt_offset_2020,continent_cepii,eu28,oecd,amount_swissleaks,share_swissleaks,n_realestateowners_dubai,n_properties_dubai,propertyvalue_usd_dubai,n_villas_dubai,n_buildings_dubai,profits_c16,taxrate_c16,excessincome_c16,tre_c16,treshareofcorp_c16,tre_cj18,ps_cj18,trl_cj18,grossprofit_cj19,efftaxrate_cj19,addgrossprofit_cj19,tre_cj19,ps_cj19,trl_cj19,ectr_garcia2019,ps_garcia2020_emp,ps_garcia2020_revt,ps_garcia2020_assets,ps_garcia2020_ccctb,ps_garcia2020_wages,trl_globalmodel_jansky19,trl_devmodel_jansky19,ps_jansky19,ps_socorpprof_jansky19,ps_sofcorpprof_jansky19,trl_jansky19,trl_sogdp_jansky19,trl_socorptax_jansky19,trl_sotottax_jansky19,profits_shifted_intohaven_bnusd,profits_shifted_out_bnusd,profits_shifted_out_pctgdp,profits_shifted_out_pct_profits,corporate_tax_loss_pct_taxcollected,fdi_interest_to_haven_mnusd,fdi_interest_to_euhaven_mnusd,fdi_interest_to_noneuhaven_mnusd,royalty_payments_to_haven_mnusd,royalty_payments_to_euhaven_mnusd,royalty_payments_to_noneuhaven_mnusd,cthi_2019_value,cthi_2021_value,cthi_2021_gsw,cthi_2019_gsw,sotj23_loss_total_share,sotj23_loss_total_musd,sotj23_loss_total_share_revenue,sotj23_loss_total_share_healthexpenses,sotj23_loss_total_share_gdp,sotj23_loss_offshore_share,sotj23_loss_offshore_musd,sotj23_loss_offshore_share_revenue,sotj23_loss_corp_share,sotj23_loss_corp_musd,sotj23_loss_corp_share_revenue,sotj23_profit_shifted_outward_musd,sotj23_inflictedloss_total_share,sotj23_inflictedloss_total_musd,sotj23_gain_corp_musd,sotj23_inflictedloss_offshore_share,sotj23_inflictedloss_offshore_musd,sotj23_inflictedloss_corp_share,sotj23_inflictedloss_corp_musd,sotj23_profit_shifted_inward_musd,sotj20_loss_total_share,sotj20_loss_total_musd,sotj20_loss_total_share_revenue,sotj20_loss_total_share_healthexpenses,sotj20_loss_offshore_share,sotj20_loss_offshore_musd,sotj20_loss_corp_share,sotj20_loss_corp_musd,sotj20_inflictedloss_total_share,sotj20_inflictedloss_total_musd,sotj20_inflictedloss_offshore_share,sotj20_inflictedloss_offshore_musd,sotj20_inflictedloss_corp_share,sotj20_inflictedloss_corp_musd,sotj21_loss_total_share,sotj21_loss_total_musd,sotj21_loss_total_share_revenue,sotj21_loss_total_share_healthexpenses,sotj21_loss_offshore_share,sotj21_loss_offshore_musd,sotj21_loss_corp_share,sotj21_loss_corp_musd,sotj21_inflictedloss_total_share,sotj21_inflictedloss_total_musd,sotj21_inflictedloss_offshore_share,sotj21_inflictedloss_offshore_musd,sotj21_inflictedloss_corp_share,sotj21_inflictedloss_corp_musd,test
ARM,AM,,,,,,,,,,,,,,,,,,,,,,,,,1.32E-05,,Asia,Western Asia,Asia,Armenia,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.75E-05,,,,,,2,1,4,Asia,0,0,15.4,6.18E-05,180,296,207650156.9,12,0,,,,,,-0.03814045,,,,,,,,,,,,,,,14.28351,18.02131,132.7961,0.0842667,0.7237726,26.55923,0.2518385,9.803817,1.258038,,,,,,,,,,,,,,7.25E-05,7.22E-05,5.22E-05,25.08187513,0.009873121,0.162739723,0.002013324,2.54E-05,4.281875134,0.001685499,6.68E-05,20.8,0.008187622,104,3.97E-06,1.905671449,1.4,0,0,6.12E-06,1.905671449,7,7.90E-05,33.8159308,0.015313491,0.177936066,2.63E-05,4.815930367,0.000118412,29.00000044,0,0,0,0,0,0,6.66E-05,3.22E-05,0.015388201,0.187528449,3.96E-05,6.77E-06,8.14E-05,2.54E-05,3.30E-06,1.59E-06,0,0,5.10E-06,1.59E-06,56
ASM,AS,,,,,,,,,,,,,,,,,,,,,,,,,6.59E-07,,Oceania,Polynesia,,American Samoa,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,2.34E-06,,135,69.3,7.37E-07,30.06335608,3,2,-11,,0,0,,,5,9,10082723.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43E-05,6.64E-05,0,0,0,,0,0,0,0,0,0,0,0,0.000126931,60.98148638,60.48,0,0,0.000195734,60.98148638,224,,,,,,,0,0,0,0,,,0,0,3.35E-06,1.62E-06,,,,,5.19E-06,1.62E-06,0.000121519,5.87E-05,,,0.000187973,5.87E-05,87
ATF,TF,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa,Sub-Saharan Africa,No,French Southern Territories,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.36E-08,,,,,,,,5,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43E-09,1.81E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,3.46E-10,1.67E-10,,,9.79E-10,1.67E-10,,,0,0,0,0,0,0,20
ATG,AG,,,,,,,46,92,1.00E-05,0.08464,59,81.53,4.35E-06,88.46715871,67,80,0.000165,60.47441,65,80.96,0.000337,79.55601,98,86.875,5.75E-07,54.5297,Americas,Latin America and the Caribbean,America,Antigua and Barbuda,Caribbean/American isl.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,76.075,6.98E-07,39.04950099,127,76.975,9.43E-07,44.72637693,3,2,-4,America,0,0,288.1,0.001156631,14,35,125462365.8,9,0,,,,,,0.009467583,0.037870333,0.009467583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91E-06,2.67E-06,4.87E-06,2.337651014,0.00928228,0.050122787,0.001455624,1.38E-05,2.337651014,0.00928228,0,0,0,0,1.30E-05,6.261491905,5.75,0,0,2.01E-05,6.261491905,23,,,,,,,0,0,0,0,,,0,0,3.06E-06,1.48E-06,0.006175461,0.034817127,8.66E-06,1.48E-06,0,0,0,0,0,0,0,0,82
AUS,AU,,,,,,,,,,,,,,,44,47.4,0.39365,168.1538,44,43.47,0.5857664,148.0734,44,51.15,0.0060879,244.3583,Oceania,Australia and New Zealand,Pacific,Australia,Oceania,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50.0875,0.006800983,238.0740006,37,56.15,0.005799827,318.0687234,3,2,10,Pacific,0,1,959.2,0.003850888,1806,2809,1197513851,477,0,67.7,25,36.3,-7.4,9,6.054677,20.182255,1231813100,25365,0.2,7410,1451,7410000000,1451000000,29,40340640789,81555641052,1.60044E+11,1.15528E+11,1.69629E+11,3203.421,1243.036,,,,,,,,,12.95909463,0.010533313,0.072458945,0.073234785,1540.22244,875.7190911,664.5033484,15114.33159,4386.026203,10728.30538,,,0.011382366,0.011235108,0.007879465,3785.478624,0.009016159,0.041331552,0.00265036,0.009915163,1674.37854,0.003987993,0.006776059,2111.100084,0.005028166,7037,0.001085423,521.4696068,561.3000223,7.17E-05,12.11085224,0.001634904,509.3587546,1871,0.009812581,4197.661676,0.010786022,0.048724368,0.010017993,1832.047852,0.009659197,2365.613824,0.009500335,4064.087968,0,0,0.016594351,4064.087968,0.014184312,0.006849759,0.017347052,0.078302039,0.010660247,0.001819959,0.016111497,0.0050298,0.000433192,0.000209193,0.001225329,0.000209193,0,0,68
AUT,AT,33,0.006785261,51.58773113,33,0.006845602,55.68305888,12,91,0.00511,42.31591,17,65.87,0.0039949,453.4871247,18,63.73,0.37133,400.8232,24,53.71,0.6923991,295.3141,35,55.9,0.0056119,310.4127,Europe,Western Europe,Europe,Austria,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,56.5,0.00542934,317.0012908,44,54.625,0.004554755,270.1859069,4,3,1,Europe,1,1,1200,0.004817625,371,687,401901465.6,87,0,,,,,,0.5427358,2.1709433,110418620,2510,0.09,454,39,454000000,39000000,13,5055364574,11400442026,6313951106,9207628104,14761617784,,,,,,,,,,,3.5894388,0.009394815,0.074846957,0.105638242,438.1922656,310.3168715,127.8753941,3867.648413,2266.156052,1601.49236,257.7396169,302.969346,0.005403664,0.00661646,0.00273324,1313.112183,0.010472903,0.038243251,0.002886017,0.003414523,576.6121826,0.004598848,0.002363965,736.5,0.005874055,2946,0.001770235,850.473944,781,0,0,0.002729791,850.473944,3124,0.0023274,995.6236468,0.008423401,0.031354755,0.003574336,653.6593628,0.001396297,341.964284,0.00167543,716.7214576,0,0,0.002926494,716.7214576,0.003487633,0.001684216,0.014310837,0.053193324,0.003184767,0.000543716,0.003653259,0.0011405,0.004357089,0.002104086,0,0,0.006739826,0.002104086,63
AZE,AZ,,,,,,,,,,,,,,,,,,,,,,,,,5.91E-06,,Asia,Western Asia,Asia,Azerbaijan,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.39E-05,,,,,,2,1,4,Asia,0,0,3.8,1.53E-05,575,1583,741250431.4,94,5,,,,,,,,,,,,,,,,,,,,,46.18826,58.2751,180.0088,0.031812,0.2732354,36.00176,0.0950729,,,,,,,,,,,,,,,,0.000617287,0.000565197,4.69E-05,22.51102257,0.003639096,0.051260804,0.00047781,0.000133303,22.51102257,0.003639096,0,0,0,0,0,0,0,0,0,0,0,0,7.80E-05,33.36168591,0.004671572,0.057026456,0.000139767,25.56006241,3.19E-05,7.801623504,0.000639921,273.747779,0,0,0.001117758,273.747779,2.90E-05,1.40E-05,0.001878461,0.023461162,7.86E-05,1.34E-05,1.92E-06,6.00E-07,0,0,0,0,0,0,77
BDI,BI,,,,,,,,,,,,,,,,,,,,,,,,,4.39E-06,,Africa,Sub-Saharan Africa,Africa,Burundi,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.48E-06,,,,,,1,1,2,Africa,0,0,30.2,0.000121244,16,27,6590232.023,5,0,,,,,,0.06265674,0.20885578,0.06265674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67E-06,6.66E-07,3.85E-06,1.850738287,0.012812189,0.03657078,0.000695734,1.10E-05,1.850738287,0.012812189,0,0,0,0,0,0,0,0,0,0,0,0,4.64E-06,1.987018466,0.005102272,0.029542913,1.09E-05,1.987018466,0,0,0,0,0,0,0,0,4.46E-06,2.16E-06,0.005548679,0.035302222,9.11E-06,1.56E-06,1.92E-06,6.00E-07,0,0,0,0,0,0,33
BEL,BE,16,0.021651417,67.84092467,16,0.021979291,72.78172411,9,73,0.01475,78.60275,15,59.13,0.0115379,467.1602626,40,45.07,1.03113,199.2665,38,40.89,1.862597,181.2279,53,44,0.0156261,212.9652,Europe,Western Europe,Europe,Belgium,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45.05,0.017243871,236.2087478,26,52.525,0.015195639,358.9256574,1,1,1,Europe,1,1,6300,0.025292531,745,1511,593019034.3,164,5,,,,,,3.4911385,10.271074,710265860,11702,0.11,1431,162,1431000000,162000000,14,-5980235534,29538278644,52508741148,30913104912,27364825425,9828.812,3813.914,10025.72,0.1249437,0.3112924,3407.741,0.7288569,21.16676,2.391437,13.1068706,,,,,4416.636445,4324.362093,92.27435206,14402.56239,8827.283929,5575.278459,822.4337525,972.7488512,0.016062056,0.018275823,0.007844633,3768.744261,0.022645467,0.08870622,0.006936777,0.014482286,2445.630859,0.0146952,0.004246835,1323.113402,0.007950266,4473,0.004398693,2113.263668,591.3042009,0.009291122,1569.05835,0.001746752,544.2053182,1999,0.009031729,3863.626209,0.024893323,0.094419748,0.014832846,2712.567627,0.004699965,1151.058582,0.007157903,3062.033835,0.009729722,1779.329956,0.005237495,1282.703879,0.008176095,0.003948326,0.025401648,0.097930047,0.016554889,0.002826316,0.003594031,0.00112201,0.003473716,0.001677495,0.009825777,0.001677495,0,0,2
BEN,BJ,,,,,,,,,,,,,,,,,,,,,,,,,2.67E-05,,Africa,Sub-Saharan Africa,Africa,Benin,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.13E-05,,,,,,1,1,1,Africa,0,0,6.6,2.65E-05,10,17,4822470.547,5,0,,,,,,0.19573459,0.6524486,0.19573459,,,,,,,,,,,,,0.9139909,1.15317,8.099497,0.0063224,0.0543034,1.571303,0.0183282,,0.1453429,,,,,,,,,,,,,,3.83E-05,3.33E-05,3.40E-05,16.31187162,0.021061586,0.233165006,0.001143697,1.31E-05,2.211871624,0.002855928,4.53E-05,14.1,0.018205659,47,0,0,0,0,0,0,0,0,5.88E-06,2.514741547,0.001312521,0.019890663,1.35E-05,2.463457346,2.09E-07,0.051284201,0,0,0,0,0,0,8.97E-05,4.33E-05,0.032293139,0.511815142,1.40E-05,2.39E-06,0.00013112,4.09E-05,0,0,0,0,0,0,48
BES,BQ,,,,,,,,,,,,,,,,,,,,,,,,,1.68E-06,,Americas,Latin America and the Caribbean,,"Bonaire, Sint Eustatius and Saba",Caribbean/American isl.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,,8.41E-06,,,,,,,,-4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77E-06,6.45E-06,4.09E-06,1.964985013,,,,1.16E-05,1.964985013,,0,0,,0,6.21E-06,2.981757879,0,1.77E-05,2.981757879,0,0,0,5.81E-06,2.486956835,,,1.36E-05,2.486956835,0,0,0,0,0,0,0,0,5.27E-06,2.54E-06,,,1.49E-05,2.54E-06,,,0,0,0,0,0,0,43
