# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
GRD,2017,1125685185.18519
GRD,2018,1166514814.81481
GRD,2019,1213485185.18519
GRD,2020,1043411111.11111
GRD,2021,1122222222.22222
GRD,2022,1224007407.40741
GRL,2016,2707139544.46695
GRL,2017,2851613679.03433
GRL,2018,3055782146.15957
GRL,2019,2997309971.87623
GRL,2020,3089625554.40473
GRL,2021,3293578467.57327
GRL,2022,3152334771.77992
GTM,2016,66053408205.8838
GTM,2017,71653780740.4226
GTM,2018,73328356007.6152
GTM,2019,77172331693.4093
GTM,2020,77719468248.3666
GTM,2021,86455522272.7383
GTM,2022,95609727055.5754
GUM,2016,5901000000
GUM,2017,6013000000
GUM,2018,6051000000
GUM,2019,6355000000
GUM,2020,5916000000
GUM,2021,6234000000
GUM,2022,6910000000
GUY,2016,4482697336.56174
GUY,2017,4748174334.14044
GUY,2018,4787636997.85343
GUY,2019,5173760191.84652
GUY,2020,5471256594.72422
GUY,2021,8041362110.31175
GUY,2022,14718388489.2086
HKG,2016,320860317562.562
HKG,2017,341273289534.466
HKG,2018,361731070995.726
HKG,2019,363074545072.389
HKG,2020,344943149590.058
HKG,2021,368954169748.818
HKG,2022,358673532516.529
HND,2016,21717604952.1835
HND,2017,23136247990.5977
HND,2018,24067750760.499
HND,2019,24882225741.8119
HND,2020,23352232483.755
HND,2021,28144331506.6149
HND,2022,31426041806.7985
HRV,2016,52650804052.1394
HRV,2017,56182225079.1072
HRV,2018,61668280700.0968
HRV,2019,61467261345.012
HRV,2020,57959824238.1808
HRV,2021,69002262504.9821
HRV,2022,71196460236.6301
HTI,2016,14069277526.2278
HTI,2017,15093357161.1498
HTI,2018,16403864617.8458
HTI,2019,15016090929.5125
HTI,2020,14508222518.3018
HTI,2021,20754978152.2134
HTI,2022,20113007125.93
HUN,2016,128983560865.293
HUN,2017,143335098991.862
HUN,2018,161184691013.835
HUN,2019,164936682033.992
HUN,2020,158468487754.196
HUN,2021,183282685440.486
HUN,2022,177002580544.155
IDN,2016,931877364037.698
IDN,2017,1015618744159.73
IDN,2018,1042271532988.63
IDN,2019,1119099871350.2
IDN,2020,1059054842698.48
IDN,2021,1186509691086.73
IDN,2022,1319101183380.15
IMN,2016,6846377563.00683
IMN,2017,6979788333.50279
IMN,2018,7491649455.92717
IMN,2019,7314967866.28289
IMN,2020,6684225641.02564
IMN,2021,7931193222.06405
IMN,2022,7431257410.92713
IND,2016,2294796885663.16
IND,2017,2651474262755.45
IND,2018,2702929641648.74
IND,2019,2835606256558.19
IND,2020,2674851578587.27
IND,2021,3167270623260.47
IND,2022,3249938492013.47
IRL,2016,305431252708.748
IRL,2017,348355212568.515
IRL,2018,395780319816.603
IRL,2019,407211793800.713
IRL,2020,436009027818.948
IRL,2021,530394123829.763
IRL,2022,548341794599.09
IRN,2016,478618064870.999
IRN,2017,510239893417.645
IRN,2018,411903303606.044
IRN,2019,347988400957.999
IRN,2020,280934329279.723
IRN,2021,407350685583.335
IRN,2022,422662261525.665
IRQ,2016,166743557747.671
IRQ,2017,187217660050.676
IRQ,2018,227367469034.031
IRQ,2019,233636097800.338
IRQ,2020,180898797516.874
IRQ,2021,209691945713.103
IRQ,2022,287372232137.931
ISL,2016,21083713310.457
ISL,2017,25060086487.8901
ISL,2018,26677652544.3499
ISL,2019,24985687022.0452
ISL,2020,22034665040.7901
ISL,2021,26234872402.457
ISL,2022,29176227825.4736
ISR,2016,321083954798.337
ISR,2017,357360816856.642
