Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Congo Dem. Rep.,COD,Population total,SP.POP.TOTL,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
Congo Dem. Rep.,COD,GDP (current US$),NY.GDP.MKTP.CD,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547755.6552,67006756666.3604,70749355652.1207
Congo Rep.,COG,Population total,SP.POP.TOTL,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
Congo Rep.,COG,GDP (current US$),NY.GDP.MKTP.CD,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030156.9459,15321055818.3263,15719985776.3966
Costa Rica,CRI,Population total,SP.POP.TOTL,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,58847019609.743,60516044656.5298,62420164991.5444,64417670521.3339,62395610759.9798,64960725734.2362,69243626028.6698,86497941438.9809,95350423176.664
Cote d'Ivoire,CIV,Population total,SP.POP.TOTL,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636649.4342,70922824824.0069,79618056323.7639,86538413923.3943
Croatia,HRV,Population total,SP.POP.TOTL,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866300
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,52654855638.1057,56186190437.9959,61668130122.5878,61467582193.6824,57963370885.0798,69006802298.6956,71198635101.9514,84393795502.4421,92526176108.621
Cuba,CUB,Population total,SP.POP.TOTL,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,91370407863.7,96850649691.7406,100050036096.123,103427600000,107351800000,..,..,..,..
Curacao,CUW,Population total,SP.POP.TOTL,159664,160175,159336,157441,154947,152369,149996,155800,155900
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3024690167.59777,3033433240.22346,3046364804.46927,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417,3281419347.37053,..
Cyprus,CYP,Population total,SP.POP.TOTL,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,21046462280.5979,22946570628.7576,25754001367.5448,26196667099.5303,25555093854.2968,30372642502.4897,30935566076.6788,33886930712.3394,36333022329.4981
Czechia,CZE,Population total,SP.POP.TOTL,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10882164
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,198160659303.939,221563575696.217,251992360762.236,256794209028.77,251109660602.536,290972714482.313,301831228325.556,343206568134.637,345036675975.047
Denmark,DNK,Population total,SP.POP.TOTL,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,312181849372.233,331610593961.988,355293374912.393,345401473012.615,355631021931.621,408378204639.999,401945576107.963,407091920305.404,429457372071.869
Djibouti,DJI,Population total,SP.POP.TOTL,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,2604955228.70117,2762581334.22612,2913464658.08768,3088851450.30694,3144136196.6228,3392796953.08939,3562814908.76149,3917150480.80981,4086402718.86834
Dominica,DMA,Population total,SP.POP.TOTL,69606,68496,68174,67880,67573,67202,66826,66510,66205
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,612711111.111111,563355555.555555,628244444.444444,644259259.259259,528944444.444444,562911111.111111,623062962.962963,659311111.111111,688881481.481481
Dominican Republic,DOM,Population total,SP.POP.TOTL,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,75552902635.7075,79070274743.1658,84994732049.3461,89146130744.723,78546672406.8291,94850719516.7127,113478087134.8,120456239153.739,124282245638.568
Ecuador,ECU,Population total,SP.POP.TOTL,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,97671433000,104467486000,107478961000,107595830000,95865473000,107179074000,116133121000,121147057000,124676074700
Egypt Arab Rep.,EGY,Population total,SP.POP.TOTL,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258
Egypt Arab Rep.,EGY,GDP (current US$),NY.GDP.MKTP.CD,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926075163.006,389059911003.566
El Salvador,SLV,Population total,SP.POP.TOTL,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31870120000,33853940000,35364960000
Equatorial Guinea,GNQ,Population total,SP.POP.TOTL,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11240808847.8878,12200913878.9827,13097012133.6159,11364133549.7478,9893816007.7398,12215878032.7166,13687643435.6249,12337550583.754,12765777677.0622
Eritrea,ERI,Population total,SP.POP.TOTL,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..
Estonia,EST,Population total,SP.POP.TOTL,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1371986
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,24561027787.7896,27469461919.1189,31222632740.7247,31873748770.0313,31820771493.8974,37204563051.4723,38376046174.971,41291245222.1948,42764929169.3258
Eswatini,SWZ,Population total,SP.POP.TOTL,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3724180911.37828,4463673661.23006,4644696656.36967,4616996144.90635,4120621324.89015,4785708165.93031,4741163884.9523,4604172127.36299,4891883720.15742
Ethiopia,ETH,Population total,SP.POP.TOTL,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,74296766562.127,81770885148.0574,84269180856.9147,95912620248.0592,107657732424.155,111261888668.864,126772707851.339,..,..
Faroe Islands,FRO,Population total,SP.POP.TOTL,49464,50180,50996,51793,52567,53305,53927,54439,54719
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2813278868.78208,2980057377.87967,3188600927.46688,3266432734.22819,3271813311.5831,3664686796.62669,3566698397.6602,3907323961.33964,..
Fiji,FJI,Population total,SP.POP.TOTL,919166,918759,917180,914899,914963,916711,919422,924145,928784
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4930213644.36653,5353469174.47838,5581425327.44397,5444407198.13478,4432466219.87685,4305031649.74189,4969503549.32096,5442046552.96928,5840564072.77313
Finland,FIN,Population total,SP.POP.TOTL,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5637214
